SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.23545228,2.0864935,wh-ngap,1
2,at,0.19493796,2.358913,wh-ngap,1
3,at,0.2532056,1.9816188,wh-ngap,1
4,at,0.14250208,2.810945,wh-ngap,1
5,at,0.011304322,6.466982,wh-ngap,1
6,at,0.22856776,2.129306,wh-ngap,1
7,at,0.29748437,1.7491143,wh-ngap,1
8,at,0.41831025,1.2573547,wh-ngap,1
9,at,0.4282027,1.2236342,wh-ngap,1
10,at,0.18896966,2.4037735,wh-ngap,1
1,at,0.29149842,1.77844,wh-gap,1
2,at,0.252721,1.9843825,wh-gap,1
3,at,0.25081882,1.9952825,wh-gap,1
4,at,0.3359567,1.5736529,wh-gap,1
5,at,0.006496428,7.2661376,wh-gap,1
6,at,0.25638106,1.9636384,wh-gap,1
7,at,0.38087887,1.3925959,wh-gap,1
8,at,0.36937648,1.4368361,wh-gap,1
9,at,0.3168303,1.6582178,wh-gap,1
10,at,0.16533542,2.5965323,wh-gap,1
1,at,0.26974654,1.8903236,nwh-ngap,1
2,at,0.10987241,3.186099,nwh-ngap,1
3,at,0.36597487,1.4501835,nwh-ngap,1
4,at,0.26161522,1.9344816,nwh-ngap,1
5,at,0.063074216,3.986806,nwh-ngap,1
6,at,0.21187915,2.2386866,nwh-ngap,1
7,at,0.26954916,1.8913797,nwh-ngap,1
8,at,0.41610178,1.2649916,nwh-ngap,1
9,at,0.4347394,1.2017772,nwh-ngap,1
10,at,0.16374722,2.6104577,nwh-ngap,1
1,at,0.00533084,7.551421,nwh-gap,1
2,at,0.0035477858,8.138865,nwh-gap,1
3,at,0.056694724,4.1406417,nwh-gap,1
4,at,0.0040696757,7.9408703,nwh-gap,1
5,at,0.007757143,7.0102587,nwh-gap,1
6,at,0.0041202344,7.923058,nwh-gap,1
7,at,0.004333548,7.8502355,nwh-gap,1
8,at,0.0031890185,8.292672,nwh-gap,1
9,at,0.006919633,7.175089,nwh-gap,1
10,at,0.00070683385,10.466341,nwh-gap,1
1,at,0.19532879,2.3560236,wh-ngap,2
2,at,0.12993573,2.94413,wh-ngap,2
3,at,0.42726424,1.2267995,wh-ngap,2
4,at,0.16783158,2.5749137,wh-ngap,2
5,at,0.012919195,6.27434,wh-ngap,2
6,at,0.14202987,2.8157337,wh-ngap,2
7,at,0.3464221,1.5293971,wh-ngap,2
8,at,0.42039782,1.250173,wh-ngap,2
9,at,0.5715915,0.80694366,wh-ngap,2
10,at,0.21453853,2.2206914,wh-ngap,2
1,at,0.2715568,1.8806741,wh-gap,2
2,at,0.15379061,2.7009606,wh-gap,2
3,at,0.39932245,1.324374,wh-gap,2
4,at,0.34273824,1.5448209,wh-gap,2
5,at,0.0046681548,7.742932,wh-gap,2
6,at,0.11240837,3.1531787,wh-gap,2
7,at,0.45319703,1.1417897,wh-gap,2
8,at,0.4469651,1.1617659,wh-gap,2
9,at,0.28994554,1.7861462,wh-gap,2
10,at,0.18525301,2.4324312,wh-gap,2
1,at,0.2501142,1.9993411,nwh-ngap,2
2,at,0.11137854,3.1664567,nwh-ngap,2
3,at,0.50436956,0.9874469,nwh-ngap,2
