SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.8300301,0.26876447,wh-ngap,1
2,at,0.16387345,2.609346,wh-ngap,1
3,at,0.63174003,0.66259706,wh-ngap,1
4,at,0.16341816,2.61336,wh-ngap,1
5,at,0.42162636,1.245963,wh-ngap,1
6,at,0.48507854,1.0437098,wh-ngap,1
7,at,0.66078264,0.59775233,wh-ngap,1
8,at,0.6803964,0.5555526,wh-ngap,1
9,at,0.345213,1.5344414,wh-ngap,1
10,at,0.08383313,3.5763357,wh-ngap,1
1,at,0.87191564,0.19773954,wh-gap,1
2,at,0.639736,0.64445144,wh-gap,1
3,at,0.8356468,0.25903478,wh-gap,1
4,at,0.8307251,0.267557,wh-gap,1
5,at,0.8704505,0.20016584,wh-gap,1
6,at,0.6663029,0.58574986,wh-gap,1
7,at,0.048050944,4.3792915,wh-gap,1
8,at,0.8215656,0.28355226,wh-gap,1
9,at,0.6314284,0.66330886,wh-gap,1
10,at,0.069311626,3.8507588,wh-gap,1
1,at,0.62988776,0.6668333,nwh-ngap,1
2,at,0.25194043,1.9888455,nwh-ngap,1
3,at,0.7706005,0.37594497,nwh-ngap,1
4,at,0.65118045,0.61887074,nwh-ngap,1
5,at,0.6384896,0.64726496,nwh-ngap,1
6,at,0.5217675,0.938521,nwh-ngap,1
7,at,0.65848887,0.602769,nwh-ngap,1
8,at,0.65834785,0.603078,nwh-ngap,1
9,at,0.4263158,1.2300055,nwh-ngap,1
10,at,0.22377965,2.1598492,nwh-ngap,1
1,at,0.15088154,2.7285118,nwh-gap,1
2,at,0.0016287888,9.261985,nwh-gap,1
3,at,0.13879648,2.848957,nwh-gap,1
4,at,0.21190697,2.238497,nwh-gap,1
5,at,0.08298411,3.591021,nwh-gap,1
6,at,0.0020591805,8.923714,nwh-gap,1
7,at,0.11501065,3.1201606,nwh-gap,1
8,at,0.00452522,7.7877965,nwh-gap,1
9,at,0.025363373,5.30111,nwh-gap,1
10,at,0.0034096527,8.196159,nwh-gap,1
1,at,0.83195984,0.2654142,wh-ngap,2
2,at,0.3182073,1.6519612,wh-ngap,2
3,at,0.90699255,0.14083739,wh-ngap,2
4,at,0.4147759,1.269596,wh-ngap,2
5,at,0.5964122,0.74561834,wh-ngap,2
6,at,0.68368655,0.54859304,wh-ngap,2
7,at,0.6588834,0.6019049,wh-ngap,2
8,at,0.68843573,0.5386061,wh-ngap,2
9,at,0.5425171,0.8822594,wh-ngap,2
10,at,0.2898553,1.7865952,wh-ngap,2
1,at,0.88533366,0.17570682,wh-gap,2
2,at,0.6240931,0.68016684,wh-gap,2
3,at,0.91054165,0.13520308,wh-gap,2
4,at,0.8308491,0.26734158,wh-gap,2
5,at,0.87804806,0.18762818,wh-gap,2
6,at,0.7951127,0.33076867,wh-gap,2
7,at,0.43789974,1.1913275,wh-gap,2
8,at,0.874318,0.19376999,wh-gap,2
9,at,0.63234264,0.6612216,wh-gap,2
10,at,0.046850815,4.415782,wh-gap,2
1,at,0.8231287,0.28081006,nwh-ngap,2
2,at,0.41771314,1.2594156,nwh-ngap,2
3,at,0.8695148,0.20171747,nwh-ngap,2
4,at,0.815659,0.29396197,nwh-ngap,2
5,at,0.7958186,0.32948843,nwh-ngap,2
6,at,0.59259194,0.7548891,nwh-ngap,2
7,at,0.6357392,0.65349305,nwh-ngap,2
8,at,0.79606473,0.32904235,nwh-ngap,2
9,at,0.5659858,0.8211622,nwh-ngap,2
10,at,0.36830047,1.4410448,nwh-ngap,2
1,at,0.13512449,2.887639,nwh-gap,2
2,at,0.005415468,7.5286984,nwh-gap,2
3,at,0.48642036,1.0397245,nwh-gap,2
4,at,0.46066043,1.1182244,nwh-gap,2
5,at,0.19119805,2.3868604,nwh-gap,2
6,at,0.02415283,5.371664,nwh-gap,2
7,at,0.1489626,2.7469778,nwh-gap,2
8,at,0.0057979426,7.430243,nwh-gap,2
9,at,0.023873262,5.3884606,nwh-gap,2
10,at,0.0020011202,8.964976,nwh-gap,2
1,at,0.8520475,0.23099422,wh-ngap,3
2,at,0.31473267,1.6678011,wh-ngap,3
3,at,0.9241286,0.11383448,wh-ngap,3
4,at,0.7305361,0.45297253,wh-ngap,3
5,at,0.78486705,0.3494798,wh-ngap,3
6,at,0.56412184,0.8259213,wh-ngap,3
7,at,0.7467056,0.42138857,wh-ngap,3
8,at,0.7494874,0.41602388,wh-ngap,3
9,at,0.6060714,0.7224403,wh-ngap,3
10,at,0.4888853,1.0324321,wh-ngap,3
1,at,0.9170013,0.1250043,wh-gap,3
2,at,0.40782163,1.2939898,wh-gap,3
3,at,0.89970505,0.15247597,wh-gap,3
4,at,0.86970145,0.20140786,wh-gap,3
5,at,0.93086964,0.10334895,wh-gap,3
6,at,0.7028457,0.5087201,wh-gap,3
7,at,0.31867278,1.6498523,wh-gap,3
8,at,0.3769685,1.407484,wh-gap,3
9,at,0.73483264,0.44451237,wh-gap,3
10,at,0.4409067,1.1814547,wh-gap,3
1,at,0.87374616,0.19471389,nwh-ngap,3
2,at,0.44930968,1.154218,nwh-ngap,3
3,at,0.9496402,0.07454707,nwh-ngap,3
4,at,0.8840145,0.17785808,nwh-ngap,3
5,at,0.8563085,0.22379741,nwh-ngap,3
6,at,0.5081906,0.9765585,nwh-ngap,3
7,at,0.69727564,0.52019906,nwh-ngap,3
8,at,0.83681643,0.25701693,nwh-ngap,3
9,at,0.5888458,0.7640382,nwh-ngap,3
10,at,0.5530898,0.85441434,nwh-ngap,3
1,at,0.42685664,1.2281765,nwh-gap,3
2,at,0.006781049,7.2042756,nwh-gap,3
3,at,0.8189598,0.2881355,nwh-gap,3
4,at,0.8207124,0.28505138,nwh-gap,3
5,at,0.33704484,1.5689876,nwh-gap,3
6,at,0.1227058,3.0267246,nwh-gap,3
7,at,0.15940969,2.6491888,nwh-gap,3
8,at,0.0076444964,7.031363,nwh-gap,3
9,at,0.036504135,4.7757964,nwh-gap,3
10,at,0.01848347,5.757621,nwh-gap,3
1,at,0.896707,0.15729144,wh-ngap,4
2,at,0.41369435,1.2733629,wh-ngap,4
3,at,0.9024049,0.14815319,wh-ngap,4
4,at,0.8262927,0.27527517,wh-ngap,4
5,at,0.8385591,0.25401565,wh-ngap,4
6,at,0.623841,0.6807498,wh-ngap,4
7,at,0.5950168,0.74899775,wh-ngap,4
8,at,0.7444865,0.4256824,wh-ngap,4
9,at,0.6535793,0.6135658,wh-ngap,4
10,at,0.53935,0.89070636,wh-ngap,4
1,at,0.8818375,0.18141529,wh-gap,4
2,at,0.2569803,1.9602703,wh-gap,4
3,at,0.6964515,0.52190524,wh-gap,4
4,at,0.88734347,0.17243545,wh-gap,4
5,at,0.8811517,0.18253772,wh-gap,4
6,at,0.57215613,0.8055192,wh-gap,4
7,at,0.1709916,2.5480027,wh-gap,4
8,at,0.11849248,3.0771327,wh-gap,4
9,at,0.6948397,0.5252479,wh-gap,4
10,at,0.08359985,3.580356,wh-gap,4
1,at,0.91298944,0.13132992,nwh-ngap,4
2,at,0.5009748,0.9971901,nwh-ngap,4
3,at,0.9548668,0.06662856,nwh-ngap,4
4,at,0.87451065,0.19345215,nwh-ngap,4
5,at,0.85914224,0.21903108,nwh-ngap,4
6,at,0.6107667,0.7113067,nwh-ngap,4
7,at,0.70423114,0.50587904,nwh-ngap,4
8,at,0.80677545,0.3097609,nwh-ngap,4
9,at,0.6499702,0.6215546,nwh-ngap,4
10,at,0.5777857,0.79139364,nwh-ngap,4
1,at,0.710827,0.4924296,nwh-gap,4
2,at,0.010749726,6.5395565,nwh-gap,4
3,at,0.69496477,0.5249883,nwh-gap,4
4,at,0.8290533,0.27046326,nwh-gap,4
5,at,0.523159,0.93467855,nwh-gap,4
6,at,0.2038764,2.2942333,nwh-gap,4
7,at,0.21091285,2.245281,nwh-gap,4
8,at,0.011999487,6.380883,nwh-gap,4
9,at,0.08022321,3.6398365,nwh-gap,4
10,at,0.0321021,4.9611883,nwh-gap,4
1,at,0.22487184,2.152825,wh-ngap,1
2,at,0.21679546,2.2055936,wh-ngap,1
3,at,0.37603465,1.4110625,wh-ngap,1
4,at,0.060324103,4.0511217,wh-ngap,1
5,at,0.011312311,6.4659624,wh-ngap,1
6,at,0.31463078,1.6682683,wh-ngap,1
7,at,0.23392189,2.0959013,wh-ngap,1
8,at,0.47132328,1.0852112,wh-ngap,1
9,at,0.3332695,1.5852388,wh-ngap,1
10,at,0.08867476,3.4953327,wh-ngap,1
1,at,0.2924767,1.7736063,wh-gap,1
2,at,0.33080813,1.5959334,wh-gap,1
3,at,0.36381212,1.4587345,wh-gap,1
4,at,0.44744426,1.1602201,wh-gap,1
5,at,0.058294155,4.100505,wh-gap,1
6,at,0.30564594,1.7100667,wh-gap,1
7,at,0.36506686,1.4537674,wh-gap,1
8,at,0.5857314,0.7716889,wh-gap,1
9,at,0.45895424,1.1235777,wh-gap,1
10,at,0.055357773,4.1750703,wh-gap,1
1,at,0.19162473,2.3836443,nwh-ngap,1
2,at,0.1274313,2.9722083,nwh-ngap,1
3,at,0.2767264,1.8534678,nwh-ngap,1
4,at,0.23984265,2.0598397,nwh-ngap,1
5,at,0.1194013,3.0661097,nwh-ngap,1
6,at,0.13326356,2.9076457,nwh-ngap,1
7,at,0.22244912,2.1684527,nwh-ngap,1
8,at,0.42662254,1.2289679,nwh-ngap,1
9,at,0.23709472,2.0764647,nwh-ngap,1
10,at,0.11117808,3.1690557,nwh-ngap,1
1,at,0.20449519,2.2898612,nwh-gap,1
2,at,0.0065177823,7.261403,nwh-gap,1
3,at,0.38401145,1.3807788,nwh-gap,1
4,at,0.0014328874,9.446859,nwh-gap,1
5,at,0.025208244,5.3099604,nwh-gap,1
6,at,0.003939886,7.9876304,nwh-gap,1
7,at,0.23211695,2.1070762,nwh-gap,1
8,at,0.03901771,4.679727,nwh-gap,1
9,at,0.049080353,4.3487105,nwh-gap,1
10,at,0.00043165634,11.177829,nwh-gap,1
1,at,0.19114263,2.3872786,wh-ngap,2
2,at,0.20519191,2.2849543,wh-ngap,2
3,at,0.41505486,1.2686261,wh-ngap,2
4,at,0.1372376,2.8652523,wh-ngap,2
5,at,0.020070273,5.638796,wh-ngap,2
6,at,0.3198417,1.64457,wh-ngap,2
7,at,0.17831859,2.487471,wh-ngap,2
8,at,0.4113248,1.2816501,wh-ngap,2
9,at,0.3983246,1.3279835,wh-ngap,2
10,at,0.091243185,3.4541395,wh-ngap,2
1,at,0.22506477,2.151588,wh-gap,2
2,at,0.27051073,1.8862423,wh-gap,2
3,at,0.35621795,1.4891679,wh-gap,2
