SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.851197,0.23243502,wh-ngap,1
2,at,0.15815343,2.6606033,wh-ngap,1
3,at,0.8250846,0.27738598,wh-ngap,1
4,at,0.20524998,2.284546,wh-ngap,1
5,at,0.63391846,0.6576308,wh-ngap,1
6,at,0.55204374,0.85714555,wh-ngap,1
7,at,0.7251165,0.4637153,wh-ngap,1
8,at,0.8079608,0.3076428,wh-ngap,1
9,at,0.5924096,0.75533307,wh-ngap,1
10,at,0.47909886,1.0616047,wh-ngap,1
1,at,0.8990771,0.15348323,wh-gap,1
2,at,0.611541,0.709479,wh-gap,1
3,at,0.88976395,0.16850545,wh-gap,1
4,at,0.8493699,0.23553513,wh-gap,1
5,at,0.8804704,0.1836536,wh-gap,1
6,at,0.7313723,0.4513221,wh-gap,1
7,at,0.014649712,6.0929837,wh-gap,1
8,at,0.8717198,0.19806366,wh-gap,1
9,at,0.7365605,0.44112402,wh-gap,1
10,at,0.018966515,5.720402,wh-gap,1
1,at,0.62988776,0.6668333,nwh-ngap,1
2,at,0.25194043,1.9888455,nwh-ngap,1
3,at,0.7706005,0.37594497,nwh-ngap,1
4,at,0.65118045,0.61887074,nwh-ngap,1
5,at,0.6384896,0.64726496,nwh-ngap,1
6,at,0.5217675,0.938521,nwh-ngap,1
7,at,0.65848887,0.602769,nwh-ngap,1
8,at,0.65834785,0.603078,nwh-ngap,1
9,at,0.4263158,1.2300055,nwh-ngap,1
10,at,0.22377965,2.1598492,nwh-ngap,1
1,at,0.15088154,2.7285118,nwh-gap,1
2,at,0.0016287888,9.261985,nwh-gap,1
3,at,0.13879648,2.848957,nwh-gap,1
4,at,0.21190697,2.238497,nwh-gap,1
5,at,0.08298411,3.591021,nwh-gap,1
6,at,0.0020591805,8.923714,nwh-gap,1
7,at,0.11501065,3.1201606,nwh-gap,1
8,at,0.00452522,7.7877965,nwh-gap,1
9,at,0.025363373,5.30111,nwh-gap,1
10,at,0.0034096527,8.196159,nwh-gap,1
1,at,0.82193124,0.28291038,wh-ngap,2
2,at,0.36154753,1.4677428,wh-ngap,2
3,at,0.9116423,0.13346021,wh-ngap,2
4,at,0.5633935,0.82778525,wh-ngap,2
5,at,0.6986589,0.5173398,wh-ngap,2
6,at,0.6784407,0.5597054,wh-ngap,2
7,at,0.6673944,0.5833885,wh-ngap,2
8,at,0.7458122,0.42311573,wh-ngap,2
9,at,0.6517649,0.61757636,wh-ngap,2
10,at,0.5652426,0.8230579,wh-ngap,2
1,at,0.8951808,0.15974897,wh-gap,2
2,at,0.6418,0.63980436,wh-gap,2
3,at,0.936009,0.095405705,wh-gap,2
4,at,0.8562208,0.22394525,wh-gap,2
5,at,0.90534306,0.14346352,wh-gap,2
6,at,0.8152133,0.29475045,wh-gap,2
7,at,0.2883595,1.7940595,wh-gap,2
8,at,0.89049196,0.1673255,wh-gap,2
9,at,0.76877433,0.37936792,wh-gap,2
10,at,0.019508112,5.679782,wh-gap,2
1,at,0.8231287,0.28081006,nwh-ngap,2
2,at,0.41771314,1.2594156,nwh-ngap,2
3,at,0.8695148,0.20171747,nwh-ngap,2
4,at,0.815659,0.29396197,nwh-ngap,2
5,at,0.7958186,0.32948843,nwh-ngap,2
6,at,0.59259194,0.7548891,nwh-ngap,2
7,at,0.6357392,0.65349305,nwh-ngap,2
8,at,0.79606473,0.32904235,nwh-ngap,2
9,at,0.5659858,0.8211622,nwh-ngap,2
10,at,0.36830047,1.4410448,nwh-ngap,2
1,at,0.13512449,2.887639,nwh-gap,2
2,at,0.005415468,7.5286984,nwh-gap,2
3,at,0.48642036,1.0397245,nwh-gap,2
4,at,0.46066043,1.1182244,nwh-gap,2
5,at,0.19119805,2.3868604,nwh-gap,2
6,at,0.02415283,5.371664,nwh-gap,2
7,at,0.1489626,2.7469778,nwh-gap,2
8,at,0.0057979426,7.430243,nwh-gap,2
9,at,0.023873262,5.3884606,nwh-gap,2
10,at,0.0020011202,8.964976,nwh-gap,2
1,at,0.86921537,0.2022144,wh-ngap,3
2,at,0.4795948,1.0601121,wh-ngap,3
3,at,0.934364,0.09794337,wh-ngap,3
4,at,0.7672402,0.38224974,wh-ngap,3
5,at,0.8615602,0.21497644,wh-ngap,3
6,at,0.67959315,0.5572568,wh-ngap,3
7,at,0.74370116,0.4272051,wh-ngap,3
8,at,0.7785,0.36123103,wh-ngap,3
9,at,0.72474027,0.46446404,wh-ngap,3
10,at,0.6311418,0.663964,wh-ngap,3
1,at,0.92917645,0.1059755,wh-gap,3
2,at,0.46918365,1.0917753,wh-gap,3
3,at,0.9380235,0.09230401,wh-gap,3
4,at,0.8799626,0.18448585,wh-gap,3
5,at,0.942557,0.08534826,wh-gap,3
6,at,0.78827226,0.3432341,wh-gap,3
7,at,0.32467195,1.6229453,wh-gap,3
8,at,0.45550987,1.1344458,wh-gap,3
9,at,0.7997439,0.32239002,wh-gap,3
10,at,0.43414837,1.2037399,wh-gap,3
1,at,0.87374616,0.19471389,nwh-ngap,3
2,at,0.44930968,1.154218,nwh-ngap,3
3,at,0.9496402,0.07454707,nwh-ngap,3
4,at,0.8840145,0.17785808,nwh-ngap,3
5,at,0.8563085,0.22379741,nwh-ngap,3
6,at,0.5081906,0.9765585,nwh-ngap,3
7,at,0.69727564,0.52019906,nwh-ngap,3
8,at,0.83681643,0.25701693,nwh-ngap,3
9,at,0.5888458,0.7640382,nwh-ngap,3
10,at,0.5530898,0.85441434,nwh-ngap,3
1,at,0.42685664,1.2281765,nwh-gap,3
2,at,0.006781049,7.2042756,nwh-gap,3
3,at,0.8189598,0.2881355,nwh-gap,3
4,at,0.8207124,0.28505138,nwh-gap,3
5,at,0.33704484,1.5689876,nwh-gap,3
6,at,0.1227058,3.0267246,nwh-gap,3
7,at,0.15940969,2.6491888,nwh-gap,3
8,at,0.0076444964,7.031363,nwh-gap,3
9,at,0.036504135,4.7757964,nwh-gap,3
10,at,0.01848347,5.757621,nwh-gap,3
1,at,0.9075101,0.1400144,wh-ngap,4
2,at,0.55881816,0.8395492,wh-ngap,4
3,at,0.91808987,0.123292714,wh-ngap,4
4,at,0.8482518,0.23743547,wh-ngap,4
5,at,0.87348753,0.19514099,wh-ngap,4
6,at,0.7121674,0.48971173,wh-ngap,4
