SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,1.5083809e-10,32.62628,wh-ngap,1
2,today,3.7492836e-09,27.990738,wh-ngap,1
3,repeatedly,3.48034e-11,34.74198,wh-ngap,1
4,then,3.416038e-09,28.125029,wh-ngap,1
5,again,2.145593e-09,28.795977,wh-ngap,1
6,yesterday,2.1453365e-10,32.118076,wh-ngap,1
7,today,3.3380723e-09,28.158339,wh-ngap,1
8,repeatedly,4.69469e-11,34.31018,wh-ngap,1
9,then,9.737255e-10,29.935766,wh-ngap,1
10,again,2.8596545e-10,31.70344,wh-ngap,1
1,yesterday,2.6423128e-12,38.461334,wh-gap,1
2,today,2.0556136e-10,32.17971,wh-gap,1
3,repeatedly,3.9681574e-12,37.87467,wh-gap,1
4,then,6.075689e-11,33.93816,wh-gap,1
5,again,1.0936739e-11,36.412025,wh-gap,1
6,then,2.500129e-11,35.219208,wh-gap,1
7,today,7.139587e-09,27.061512,wh-gap,1
8,repeatedly,1.0992939e-11,36.404633,wh-gap,1
9,then,1.5445494e-11,35.914024,wh-gap,1
10,again,2.2662862e-10,32.03895,wh-gap,1
1,yesterday,2.9865912e-11,34.962708,nwh-ngap,1
2,today,2.198164e-09,28.761053,nwh-ngap,1
3,repeatedly,1.4090273e-11,36.04651,nwh-ngap,1
4,then,3.420024e-10,31.445274,nwh-ngap,1
5,again,4.823809e-09,27.62718,nwh-ngap,1
6,yesterday,2.5472888e-11,35.192245,nwh-ngap,1
7,today,2.2232209e-08,25.422773,nwh-ngap,1
8,repeatedly,3.240439e-11,34.84502,nwh-ngap,1
9,then,1.5349001e-09,29.279207,nwh-ngap,1
10,again,3.4396366e-10,31.437025,nwh-ngap,1
1,yesterday,4.9324956e-07,20.95118,nwh-gap,1
2,today,2.4349806e-06,18.647657,nwh-gap,1
3,repeatedly,3.241672e-09,28.200615,nwh-gap,1
4,then,2.7995696e-07,21.768291,nwh-gap,1
5,again,5.4248017e-07,20.813927,nwh-gap,1
6,yesterday,8.0199794e-07,20.249899,nwh-gap,1
7,today,1.1778758e-07,23.01731,nwh-gap,1
8,repeatedly,3.423353e-08,24.800014,nwh-gap,1
9,then,3.2127008e-07,21.56971,nwh-gap,1
10,again,3.0905352e-07,21.62564,nwh-gap,1
1,again,2.097944e-07,22.18452,wh-ngap,2
2,yesterday,2.8254133e-08,25.076963,wh-ngap,2
3,today,2.523753e-06,18.595999,wh-ngap,2
4,repeatedly,2.9290643e-09,28.346912,wh-ngap,2
5,then,1.6082944e-07,22.567965,wh-ngap,2
6,again,2.9623799e-08,25.008669,wh-ngap,2
7,yesterday,1.3490489e-08,26.143482,wh-ngap,2
8,today,4.0989076e-07,21.218258,wh-ngap,2
