SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,7.290631e-06,17.065525,wh-ngap,1
2,today,0.0014494411,9.430287,wh-ngap,1
3,repeatedly,3.5892194e-07,21.409826,wh-ngap,1
4,then,4.810426e-05,14.343476,wh-ngap,1
5,again,0.00093803817,10.058065,wh-ngap,1
6,yesterday,9.897956e-06,16.624437,wh-ngap,1
7,today,0.0349544,4.8383822,wh-ngap,1
8,repeatedly,9.688478e-06,16.655298,wh-ngap,1
9,then,0.036248043,4.785953,wh-ngap,1
10,again,0.0010369237,9.913474,wh-ngap,1
1,yesterday,0.0035610714,8.133473,wh-gap,1
2,today,0.03209315,4.961591,wh-gap,1
3,repeatedly,2.1771864e-05,15.487176,wh-gap,1
4,then,0.022336591,5.484447,wh-gap,1
5,again,0.008453223,6.886283,wh-gap,1
6,then,0.010553916,6.5660777,wh-gap,1
7,today,0.00020334283,12.263798,wh-gap,1
8,repeatedly,5.141349e-05,14.247494,wh-gap,1
9,then,0.019825032,5.6565332,wh-gap,1
10,again,4.1779178e-05,14.546856,wh-gap,1
1,yesterday,2.9865912e-11,34.962708,nwh-ngap,1
2,today,2.198164e-09,28.761053,nwh-ngap,1
3,repeatedly,1.4090273e-11,36.04651,nwh-ngap,1
4,then,3.420024e-10,31.445274,nwh-ngap,1
5,again,4.823809e-09,27.62718,nwh-ngap,1
6,yesterday,2.5472888e-11,35.192245,nwh-ngap,1
7,today,2.2232209e-08,25.422773,nwh-ngap,1
8,repeatedly,3.240439e-11,34.84502,nwh-ngap,1
9,then,1.5349001e-09,29.279207,nwh-ngap,1
10,again,3.4396366e-10,31.437025,nwh-ngap,1
1,yesterday,4.9324956e-07,20.95118,nwh-gap,1
2,today,2.4349806e-06,18.647657,nwh-gap,1
3,repeatedly,3.241672e-09,28.200615,nwh-gap,1
4,then,2.7995696e-07,21.768291,nwh-gap,1
5,again,5.4248017e-07,20.813927,nwh-gap,1
6,yesterday,8.0199794e-07,20.249899,nwh-gap,1
7,today,1.1778758e-07,23.01731,nwh-gap,1
8,repeatedly,3.423353e-08,24.800014,nwh-gap,1
9,then,3.2127008e-07,21.56971,nwh-gap,1
10,again,3.0905352e-07,21.62564,nwh-gap,1
1,again,0.00027051778,11.851989,wh-ngap,2
2,yesterday,0.0008874567,10.138036,wh-ngap,2
3,today,0.014160166,6.142018,wh-ngap,2
4,repeatedly,6.809687e-07,20.485909,wh-ngap,2
5,then,0.00023308505,12.066855,wh-ngap,2
6,again,0.0028114412,8.474474,wh-ngap,2
7,yesterday,0.01302981,6.26204,wh-ngap,2
