SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.7089276,0.49628985,wh-ngap,1
2,at,0.36851004,1.4402242,wh-ngap,1
3,at,0.685552,0.544662,wh-ngap,1
4,at,0.20476721,2.2879434,wh-ngap,1
5,at,0.39209685,1.350718,wh-ngap,1
6,at,0.6003723,0.73607063,wh-ngap,1
7,at,0.6722018,0.5730337,wh-ngap,1
8,at,0.5201486,0.9430043,wh-ngap,1
9,at,0.00036307826,11.427432,wh-ngap,1
10,at,0.14290608,2.8068607,wh-ngap,1
1,at,0.6585598,0.6026136,wh-gap,1
2,at,0.56848484,0.8148062,wh-gap,1
3,at,0.6316792,0.66273606,wh-gap,1
4,at,0.7805138,0.35750392,wh-gap,1
5,at,0.5516715,0.85811865,wh-gap,1
6,at,0.6453972,0.6317408,wh-gap,1
7,at,0.6160912,0.6987842,wh-gap,1
8,at,0.55598766,0.84687525,wh-gap,1
9,at,0.00041712704,11.227225,wh-gap,1
10,at,0.23537186,2.0869863,wh-gap,1
1,at,0.8623476,0.21365857,nwh-ngap,1
2,at,0.7606039,0.39478275,nwh-ngap,1
3,at,0.85505235,0.22591534,nwh-ngap,1
4,at,0.8356691,0.2589963,nwh-ngap,1
5,at,0.6096629,0.71391636,nwh-ngap,1
6,at,0.759089,0.39765906,nwh-ngap,1
7,at,0.74224156,0.43003932,nwh-ngap,1
8,at,0.82435876,0.27865577,nwh-ngap,1
9,at,6.919253e-06,17.140953,nwh-ngap,1
10,at,0.73026145,0.45351502,nwh-ngap,1
1,at,0.21246947,2.2346725,nwh-gap,1
2,at,0.004322197,7.8540196,nwh-gap,1
3,at,0.21022749,2.2499769,nwh-gap,1
4,at,0.27116588,1.8827524,nwh-gap,1
5,at,0.017094841,5.870295,nwh-gap,1
6,at,0.010052976,6.6362333,nwh-gap,1
7,at,0.09502683,3.3955214,nwh-gap,1
8,at,0.0049736775,7.651471,nwh-gap,1
9,at,0.00019830336,12.300003,nwh-gap,1
10,at,0.010333163,6.5965743,nwh-gap,1
1,at,0.8040353,0.31466925,wh-ngap,2
2,at,0.6071691,0.71982974,wh-ngap,2
3,at,0.77014333,0.37680113,wh-ngap,2
4,at,0.72157824,0.47077227,wh-ngap,2
5,at,0.33242834,1.5888847,wh-ngap,2
6,at,0.6471996,0.62771744,wh-ngap,2
7,at,0.0012737383,9.616715,wh-ngap,2
8,at,0.7572107,0.40123335,wh-ngap,2
9,at,0.65015256,0.6211498,wh-ngap,2
10,at,0.7245251,0.46489245,wh-ngap,2
1,at,0.71216494,0.48971668,wh-gap,2
2,at,0.51217425,0.96529335,wh-gap,2
3,at,0.5524899,0.85598004,wh-gap,2
4,at,0.84695166,0.23964846,wh-gap,2
5,at,0.6031969,0.729299,wh-gap,2
6,at,0.3699196,1.4347163,wh-gap,2
7,at,0.00018618167,12.391002,wh-gap,2
8,at,0.69097036,0.5333043,wh-gap,2
9,at,0.5328509,0.90819615,wh-gap,2
10,at,0.38915244,1.3615927,wh-gap,2
1,at,0.90450734,0.14479588,nwh-ngap,2
2,at,0.75348085,0.40835723,nwh-ngap,2
3,at,0.8182289,0.2894236,nwh-ngap,2
4,at,0.8677714,0.20461307,nwh-ngap,2
5,at,0.56264836,0.82969457,nwh-ngap,2
6,at,0.7685225,0.37984058,nwh-ngap,2
7,at,1.6934255e-05,15.849696,nwh-ngap,2
8,at,0.86823815,0.20383728,nwh-ngap,2
9,at,0.6598039,0.5998907,nwh-ngap,2
10,at,0.83314484,0.26336077,nwh-ngap,2
1,at,0.30814162,1.6983346,nwh-gap,2
2,at,0.0055820057,7.4850006,nwh-gap,2
3,at,0.15214188,2.7165108,nwh-gap,2
4,at,0.65241945,0.6161283,nwh-gap,2
5,at,0.035303418,4.8240485,nwh-gap,2
6,at,0.10824437,3.207636,nwh-gap,2
7,at,0.0014333689,9.446374,nwh-gap,2
8,at,0.00763954,7.0322986,nwh-gap,2
9,at,0.014818262,6.07648,nwh-gap,2
10,at,0.006222842,7.328211,nwh-gap,2
1,at,0.8203286,0.2857262,wh-ngap,3
2,at,0.6667063,0.58487666,wh-ngap,3
3,at,0.801977,0.31836727,wh-ngap,3
4,at,0.6917559,0.5316651,wh-ngap,3
5,at,0.5000999,0.9997118,wh-ngap,3
