SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.66812336,0.5818136,wh-ngap,1
2,at,0.06433061,3.958351,wh-ngap,1
3,at,0.3416576,1.5493768,wh-ngap,1
4,at,0.18484439,2.435617,wh-ngap,1
5,at,0.24522074,2.027847,wh-ngap,1
6,at,0.3840575,1.3806058,wh-ngap,1
7,at,0.35982722,1.4746238,wh-ngap,1
8,at,0.33524007,1.5767335,wh-ngap,1
9,at,0.00013831937,12.819709,wh-ngap,1
10,at,0.06407228,3.964156,wh-ngap,1
1,at,0.8608633,0.21614388,wh-gap,1
2,at,0.43873942,1.1885638,wh-gap,1
3,at,0.86755896,0.20496629,wh-gap,1
4,at,0.8708772,0.19945878,wh-gap,1
5,at,0.7462654,0.42223927,wh-gap,1
6,at,0.74899626,0.41696957,wh-gap,1
7,at,0.0333484,4.9062386,wh-gap,1
8,at,0.546894,0.87066686,wh-gap,1
9,at,7.534411e-05,13.696146,wh-gap,1
10,at,0.17182483,2.5409896,wh-gap,1
1,at,0.7986897,0.32429293,nwh-ngap,1
2,at,0.16615322,2.589414,nwh-ngap,1
3,at,0.85959375,0.2182731,nwh-ngap,1
4,at,0.81863695,0.2887043,nwh-ngap,1
5,at,0.71784455,0.47825664,nwh-ngap,1
6,at,0.37554935,1.4129256,nwh-ngap,1
7,at,0.478405,1.0636957,nwh-ngap,1
8,at,0.72657204,0.46082225,nwh-ngap,1
9,at,1.2900129e-05,16.242254,nwh-ngap,1
10,at,0.103393,3.2737894,nwh-ngap,1
1,at,0.051585242,4.276898,nwh-gap,1
2,at,0.0048517194,7.6872883,nwh-gap,1
3,at,0.04985045,4.3262496,nwh-gap,1
4,at,0.0702502,3.831354,nwh-gap,1
5,at,0.05648367,4.1460223,nwh-gap,1
6,at,0.0008721239,10.163179,nwh-gap,1
7,at,0.042498976,4.556428,nwh-gap,1
8,at,0.0029379302,8.410984,nwh-gap,1
9,at,0.00010524848,13.213913,nwh-gap,1
10,at,0.005455207,7.5181503,nwh-gap,1
1,at,0.8767786,0.1897155,wh-ngap,2
2,at,0.34031236,1.5550685,wh-ngap,2
3,at,0.8293587,0.26993188,wh-ngap,2
4,at,0.4240948,1.2375413,wh-ngap,2
5,at,0.4121425,1.2787849,wh-ngap,2
6,at,0.52113223,0.9402786,wh-ngap,2
7,at,0.4910857,1.0259533,wh-ngap,2
8,at,0.8163578,0.2927265,wh-ngap,2
9,at,0.4489686,1.1553136,wh-ngap,2
10,at,0.26780042,1.9007698,wh-ngap,2
1,at,0.90156645,0.14949428,wh-gap,2
2,at,0.47673076,1.0687534,wh-gap,2
3,at,0.85847497,0.22015202,wh-gap,2
4,at,0.893079,0.16314033,wh-gap,2
5,at,0.73490435,0.4443716,wh-gap,2
6,at,0.545501,0.87434626,wh-gap,2
7,at,0.27836937,1.8449277,wh-gap,2
8,at,0.82679474,0.27439886,wh-gap,2
9,at,0.60951924,0.7142563,wh-gap,2
10,at,0.28923088,1.7897065,wh-gap,2
1,at,0.9171775,0.12472713,nwh-ngap,2
2,at,0.24112657,2.0521374,nwh-ngap,2
3,at,0.8497189,0.23494239,nwh-ngap,2
4,at,0.85277545,0.22976218,nwh-ngap,2
5,at,0.7549664,0.4055157,nwh-ngap,2
6,at,0.614353,0.70286024,nwh-ngap,2
7,at,0.5189087,0.94644743,nwh-ngap,2
8,at,0.6891356,0.5371402,nwh-ngap,2
9,at,0.45319757,1.141788,nwh-ngap,2
10,at,0.29330388,1.769532,nwh-ngap,2
1,at,0.09556525,3.38737,nwh-gap,2
2,at,0.0050717224,7.6233087,nwh-gap,2
3,at,0.064749695,3.9489827,nwh-gap,2
4,at,0.46116525,1.1166443,nwh-gap,2
5,at,0.09956798,3.3281744,nwh-gap,2
6,at,0.096233346,3.3773193,nwh-gap,2
7,at,0.13073577,2.9352741,nwh-gap,2
8,at,0.006465587,7.273003,nwh-gap,2
9,at,0.009212633,6.762171,nwh-gap,2
10,at,0.0010839809,9.849445,nwh-gap,2
1,at,0.87071794,0.19972263,wh-ngap,3
2,at,0.39261705,1.3488053,wh-ngap,3
3,at,0.9540915,0.06780048,wh-ngap,3
4,at,0.7135031,0.48700833,wh-ngap,3
5,at,0.87238234,0.19696753,wh-ngap,3
6,at,0.17944583,2.4783797,wh-ngap,3
7,at,0.6065741,0.72124416,wh-ngap,3
8,at,0.8762671,0.19055744,wh-ngap,3
9,at,0.65458494,0.6113477,wh-ngap,3
10,at,0.5037947,0.98909205,wh-ngap,3
1,at,0.8885584,0.1704615,wh-gap,3
2,at,0.34151715,1.54997,wh-gap,3
3,at,0.87017745,0.20061846,wh-gap,3
4,at,0.91478044,0.12850258,wh-gap,3
5,at,0.825198,0.27718776,wh-gap,3
6,at,0.095982835,3.3810797,wh-gap,3
7,at,0.18814027,2.4101193,wh-gap,3
8,at,0.85671586,0.2231113,wh-gap,3
9,at,0.6165698,0.69766384,wh-gap,3
10,at,0.46819434,1.0948206,wh-gap,3
1,at,0.90980875,0.13636477,nwh-ngap,3
2,at,0.3683168,1.4409809,nwh-ngap,3
3,at,0.94995487,0.07406912,nwh-ngap,3
4,at,0.8978958,0.15538004,nwh-ngap,3
5,at,0.8840225,0.17784505,nwh-ngap,3
6,at,0.38728353,1.3685379,nwh-ngap,3
7,at,0.6837173,0.54852813,nwh-ngap,3
8,at,0.8788983,0.18623182,nwh-ngap,3
9,at,0.6040314,0.7273046,nwh-ngap,3
10,at,0.54825884,0.8670709,nwh-ngap,3
1,at,0.05127337,4.2856464,nwh-gap,3
2,at,0.0029113784,8.424082,nwh-gap,3
3,at,0.5668969,0.8188417,nwh-gap,3
4,at,0.5764255,0.79479396,nwh-gap,3
5,at,0.27393633,1.8680875,nwh-gap,3
6,at,0.062276516,4.005168,nwh-gap,3
7,at,0.15311313,2.7073302,nwh-gap,3
8,at,0.00704931,7.148302,nwh-gap,3
9,at,0.01650315,5.921115,nwh-gap,3
10,at,0.007934853,6.9775805,nwh-gap,3
1,at,0.9158922,0.12675032,wh-ngap,4
2,at,0.43808055,1.1907319,wh-ngap,4
3,at,0.95058733,0.07310892,wh-ngap,4
4,at,0.8134669,0.29784444,wh-ngap,4
5,at,0.90222585,0.14843947,wh-ngap,4
6,at,0.32640013,1.6152865,wh-ngap,4
7,them,2.6887137e-05,15.182724,wh-ngap,4
8,at,0.8170785,0.29145345,wh-ngap,4
9,at,0.72450614,0.46493018,wh-ngap,4
10,at,0.59616315,0.7462209,wh-ngap,4
1,at,0.83677065,0.25709584,wh-gap,4
2,at,0.3576738,1.4832836,wh-gap,4
3,at,0.828324,0.27173287,wh-gap,4
4,at,0.8348671,0.2603815,wh-gap,4
5,at,0.8019028,0.31850076,wh-gap,4
6,at,0.11322256,3.1427667,wh-gap,4
7,at,0.32842672,1.6063566,wh-gap,4
8,at,0.22215208,2.1703804,wh-gap,4
9,at,0.5882267,0.76555586,wh-gap,4
10,at,0.3489693,1.5188279,wh-gap,4
1,at,0.91806763,0.12332765,nwh-ngap,4
2,at,0.35218558,1.5055922,nwh-ngap,4
3,at,0.9555851,0.065543704,nwh-ngap,4
4,at,0.8920574,0.16479152,nwh-ngap,4
5,at,0.8938446,0.16190405,nwh-ngap,4
6,at,0.37626854,1.4101654,nwh-ngap,4
7,at,0.5688455,0.8138912,nwh-ngap,4
8,at,0.7651993,0.38609254,nwh-ngap,4
9,at,0.59250677,0.75509644,nwh-ngap,4
10,at,0.49702364,1.0086136,nwh-ngap,4
1,at,0.32682413,1.6134136,nwh-gap,4
2,at,0.007855531,6.9920754,nwh-gap,4
3,at,0.53405416,0.90494204,nwh-gap,4
