SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.87028044,0.20044771,wh-ngap,1
2,at,0.19433025,2.3634176,wh-ngap,1
3,at,0.8358482,0.2586871,wh-ngap,1
4,at,0.45838,1.125384,wh-ngap,1
5,at,0.7365971,0.44105235,wh-ngap,1
6,at,0.45366853,1.1402895,wh-ngap,1
7,at,0.45994982,1.1204516,wh-ngap,1
8,at,0.8798948,0.18459706,wh-ngap,1
9,at,0.00017707325,12.4633665,wh-ngap,1
10,at,0.72434026,0.46526054,wh-ngap,1
1,at,0.9303757,0.10411468,wh-gap,1
2,at,0.5738916,0.8011499,wh-gap,1
3,at,0.92217183,0.116892494,wh-gap,1
4,at,0.89676636,0.15719593,wh-gap,1
5,at,0.7644773,0.3874544,wh-gap,1
6,at,0.80617994,0.3108262,wh-gap,1
7,at,0.0053291097,7.55189,wh-gap,1
8,at,0.825673,0.2763576,wh-gap,1
9,at,3.3734308e-05,14.855424,wh-gap,1
10,at,0.03019768,5.0494184,wh-gap,1
1,at,0.7986897,0.32429293,nwh-ngap,1
2,at,0.16615322,2.589414,nwh-ngap,1
3,at,0.85959375,0.2182731,nwh-ngap,1
4,at,0.81863695,0.2887043,nwh-ngap,1
5,at,0.71784455,0.47825664,nwh-ngap,1
6,at,0.37554935,1.4129256,nwh-ngap,1
7,at,0.478405,1.0636957,nwh-ngap,1
8,at,0.72657204,0.46082225,nwh-ngap,1
9,at,1.2900129e-05,16.242254,nwh-ngap,1
10,at,0.103393,3.2737894,nwh-ngap,1
1,at,0.051585242,4.276898,nwh-gap,1
2,at,0.0048517194,7.6872883,nwh-gap,1
3,at,0.04985045,4.3262496,nwh-gap,1
4,at,0.0702502,3.831354,nwh-gap,1
5,at,0.05648367,4.1460223,nwh-gap,1
6,at,0.0008721239,10.163179,nwh-gap,1
7,at,0.042498976,4.556428,nwh-gap,1
8,at,0.0029379302,8.410984,nwh-gap,1
9,at,0.00010524848,13.213913,nwh-gap,1
10,at,0.005455207,7.5181503,nwh-gap,1
1,at,0.90603447,0.14236216,wh-ngap,2
2,at,0.25245237,1.9859169,wh-ngap,2
3,at,0.83645463,0.2576408,wh-ngap,2
4,at,0.496884,1.009019,wh-ngap,2
5,at,0.67603576,0.5648285,wh-ngap,2
6,at,0.7783693,0.36147326,wh-ngap,2
7,at,0.4611972,1.1165444,wh-ngap,2
8,at,0.87166333,0.19815707,wh-ngap,2
9,at,0.59383583,0.75186396,wh-ngap,2
10,at,0.48046872,1.0574856,wh-ngap,2
1,at,0.939361,0.090248436,wh-gap,2
2,at,0.6047558,0.7255753,wh-gap,2
3,at,0.9288916,0.10641785,wh-gap,2
4,at,0.9132951,0.13084702,wh-gap,2
5,at,0.78013664,0.35820127,wh-gap,2
6,at,0.8383612,0.25435615,wh-gap,2
7,at,0.12351806,3.0172062,wh-gap,2
8,at,0.9266959,0.10983213,wh-gap,2
9,at,0.76513463,0.38621446,wh-gap,2
10,at,0.15791087,2.6628177,wh-gap,2
1,at,0.9171775,0.12472713,nwh-ngap,2
2,at,0.24112657,2.0521374,nwh-ngap,2
3,at,0.8497189,0.23494239,nwh-ngap,2
4,at,0.85277545,0.22976218,nwh-ngap,2
5,at,0.7549664,0.4055157,nwh-ngap,2
6,at,0.614353,0.70286024,nwh-ngap,2
7,at,0.5189087,0.94644743,nwh-ngap,2
