SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,1.6484457e-09,29.176247,wh-ngap,1
2,today,1.4770516e-09,29.334633,wh-ngap,1
3,repeatedly,3.8605067e-11,34.59242,wh-ngap,1
4,frequently,1.340204e-11,36.118755,wh-ngap,1
5,again,4.396448e-09,27.761015,wh-ngap,1
6,yesterday,3.8006157e-10,31.293047,wh-ngap,1
7,today,4.637791e-09,27.683914,wh-ngap,1
8,repeatedly,1.735119e-12,39.068104,wh-ngap,1
9,frequently,1.6007173e-06,19.25285,wh-ngap,1
10,again,8.31333e-15,46.773495,wh-ngap,1
1,yesterday,2.2642725e-12,38.68409,wh-gap,1
2,today,2.3930025e-11,35.282387,wh-gap,1
3,repeatedly,4.8337853e-14,44.23384,wh-gap,1
4,frequently,2.3211512e-14,45.292152,wh-gap,1
5,again,8.629349e-14,43.397743,wh-gap,1
6,yesterday,4.7340096e-12,37.620075,wh-gap,1
7,today,1.969745e-10,32.241272,wh-gap,1
8,repeatedly,2.415556e-14,45.23464,wh-gap,1
9,frequently,4.9555933e-07,20.944439,wh-gap,1
10,again,1.3797509e-15,49.364513,wh-gap,1
1,yesterday,1.6570795e-14,45.77835,nwh-ngap,1
2,today,1.0023277e-11,36.537853,nwh-ngap,1
3,repeatedly,1.259235e-13,42.852516,nwh-ngap,1
4,frequently,1.3815579e-13,42.71877,nwh-ngap,1
5,again,5.695744e-11,34.031326,nwh-ngap,1
6,yesterday,1.4827168e-13,42.61682,nwh-ngap,1
7,today,7.6646073e-10,30.281069,nwh-ngap,1
8,repeatedly,7.514039e-17,53.56319,nwh-ngap,1
9,frequently,3.0832716e-06,18.307106,nwh-ngap,1
10,again,9.927346e-17,53.16137,nwh-ngap,1
1,yesterday,1.349547e-08,26.14295,nwh-gap,1
2,today,2.8338076e-07,21.750755,nwh-gap,1
3,repeatedly,4.0319223e-10,31.207813,nwh-gap,1
4,frequently,8.500419e-10,30.131746,nwh-gap,1
5,again,3.7408924e-08,24.672043,nwh-gap,1
6,yesterday,1.1055675e-08,26.430637,nwh-gap,1
7,today,3.9894696e-09,27.901155,nwh-gap,1
8,repeatedly,5.990618e-11,33.958504,nwh-gap,1
9,frequently,3.6514987e-06,18.06308,nwh-gap,1
10,again,1.4027347e-09,29.409111,nwh-gap,1
1,yesterday,1.5983169e-10,32.54273,wh-ngap,2
2,today,3.610073e-07,21.401468,wh-ngap,2
3,repeatedly,3.3918165e-10,31.457222,wh-ngap,2
