SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,yesterday,1.3095366e-05,16.220585,wh-ngap,1
2,today,0.0006135773,10.670467,wh-ngap,1
3,repeatedly,9.290563e-08,23.35966,wh-ngap,1
4,frequently,6.41517e-07,20.57201,wh-ngap,1
5,again,0.0013304512,9.553868,wh-ngap,1
6,yesterday,3.369421e-06,18.179068,wh-ngap,1
7,today,0.015950497,5.970255,wh-ngap,1
8,repeatedly,3.1084758e-06,18.29536,wh-ngap,1
9,frequently,1.0789039e-07,23.14393,wh-ngap,1
10,again,0.0028311065,8.464418,wh-ngap,1
1,yesterday,0.06300069,3.9884887,wh-gap,1
2,today,0.0077423984,7.013004,wh-gap,1
3,repeatedly,3.227823e-06,18.241007,wh-gap,1
4,frequently,9.382102e-06,16.701658,wh-gap,1
5,again,0.0020749546,8.912704,wh-gap,1
6,yesterday,0.012914338,6.2748823,wh-gap,1
7,today,0.0004963921,10.976233,wh-gap,1
8,repeatedly,6.7206265e-06,17.182972,wh-gap,1
9,frequently,1.3881329e-07,22.780352,wh-gap,1
10,again,6.671427e-05,13.871645,wh-gap,1
1,yesterday,1.6570795e-14,45.77835,nwh-ngap,1
2,today,1.0023277e-11,36.537853,nwh-ngap,1
3,repeatedly,1.259235e-13,42.852516,nwh-ngap,1
4,frequently,1.3815579e-13,42.71877,nwh-ngap,1
5,again,5.695744e-11,34.031326,nwh-ngap,1
6,yesterday,1.4827168e-13,42.61682,nwh-ngap,1
7,today,7.6646073e-10,30.281069,nwh-ngap,1
8,repeatedly,7.514039e-17,53.56319,nwh-ngap,1
9,frequently,3.0832716e-06,18.307106,nwh-ngap,1
10,again,9.927346e-17,53.16137,nwh-ngap,1
1,yesterday,1.349547e-08,26.14295,nwh-gap,1
2,today,2.8338076e-07,21.750755,nwh-gap,1
3,repeatedly,4.0319223e-10,31.207813,nwh-gap,1
4,frequently,8.500419e-10,30.131746,nwh-gap,1
5,again,3.7408924e-08,24.672043,nwh-gap,1
6,yesterday,1.1055675e-08,26.430637,nwh-gap,1
7,today,3.9894696e-09,27.901155,nwh-gap,1
8,repeatedly,5.990618e-11,33.958504,nwh-gap,1
9,frequently,3.6514987e-06,18.06308,nwh-gap,1
10,again,1.4027347e-09,29.409111,nwh-gap,1
1,yesterday,2.1933132e-05,15.476528,wh-ngap,2
2,today,0.0007519392,10.377096,wh-ngap,2
3,repeatedly,2.8088944e-06,18.441566,wh-ngap,2
4,frequently,4.88532e-07,20.965044,wh-ngap,2
5,again,0.0012594794,9.6329565,wh-ngap,2
6,yesterday,0.0009466023,10.044954,wh-ngap,2
7,today,0.01337165,6.2246785,wh-ngap,2
8,yesterday,0.00031320183,11.640619,wh-ngap,2
9,frequently,3.9200055e-05,14.638784,wh-ngap,2
10,again,0.004693648,7.7350745,wh-ngap,2
1,yesterday,0.040860947,4.6131334,wh-gap,2
2,today,0.014398145,6.1179733,wh-gap,2
3,repeatedly,1.5060093e-05,16.01891,wh-gap,2
4,frequently,0.00020885016,12.2252445,wh-gap,2
5,again,0.007987343,6.9680686,wh-gap,2
6,yesterday,0.017293623,5.853616,wh-gap,2
7,today,0.0007405085,10.399196,wh-gap,2
8,yesterday,0.024729783,5.3376064,wh-gap,2
9,frequently,7.2372335e-05,13.754202,wh-gap,2
10,again,7.217541e-05,13.758133,wh-gap,2
1,yesterday,6.225251e-17,53.834644,nwh-ngap,2
2,today,1.3213342e-10,32.817287,nwh-ngap,2
3,repeatedly,6.445481e-11,33.85292,nwh-ngap,2
4,frequently,1.8655483e-12,38.96354,nwh-ngap,2
5,again,2.7506295e-09,28.437592,nwh-ngap,2
6,yesterday,1.4484467e-13,42.65056,nwh-ngap,2
7,today,1.1882211e-07,23.004694,nwh-ngap,2
8,yesterday,4.796018e-11,34.279373,nwh-ngap,2
9,frequently,1.6048667e-10,32.536827,nwh-ngap,2
10,again,2.8429503e-10,31.711891,nwh-ngap,2
1,yesterday,5.9397505e-09,27.32695,nwh-gap,2
2,today,1.9248982e-06,18.986786,nwh-gap,2
3,repeatedly,3.4328922e-09,28.117928,nwh-gap,2
4,frequently,2.015587e-09,28.886152,nwh-gap,2
5,again,4.8116686e-07,20.98696,nwh-gap,2
6,yesterday,2.6039178e-08,25.19474,nwh-gap,2
7,today,2.7086577e-07,21.815918,nwh-gap,2
8,yesterday,1.0857446e-07,23.134811,nwh-gap,2
9,frequently,9.83066e-09,26.600065,nwh-gap,2
10,again,3.562525e-07,21.420597,nwh-gap,2
1,yesterday,2.9535373e-05,15.047196,wh-ngap,3
2,today,0.0019224376,9.022847,wh-ngap,3
3,repeatedly,7.934312e-06,16.943464,wh-ngap,3
4,frequently,5.5726804e-07,20.775126,wh-ngap,3
5,again,0.0013848721,9.496032,wh-ngap,3
6,yesterday,0.0005455168,10.840089,wh-ngap,3
7,today,0.003699162,8.078586,wh-ngap,3
8,yesterday,0.0044886987,7.799487,wh-ngap,3
9,frequently,0.00017295712,12.497298,wh-ngap,3
10,again,0.002311028,8.75725,wh-ngap,3
1,yesterday,0.040382512,4.6301255,wh-gap,3
2,today,0.00013766182,12.826584,wh-gap,3
3,repeatedly,6.0739153e-06,17.328941,wh-gap,3
4,frequently,0.0001810675,12.431185,wh-gap,3
5,again,0.0025486455,8.616054,wh-gap,3
6,yesterday,0.005862237,7.414333,wh-gap,3
7,today,0.0010420778,9.906322,wh-gap,3
8,yesterday,0.016311375,5.937978,wh-gap,3
9,frequently,8.407852e-05,13.537903,wh-gap,3
10,again,4.6388814e-05,14.395864,wh-gap,3
1,yesterday,1.141183e-12,39.672607,nwh-ngap,3
2,today,6.3158754e-09,27.23837,nwh-ngap,3
3,repeatedly,7.694415e-13,40.241253,nwh-ngap,3
4,frequently,2.1678252e-13,42.068817,nwh-ngap,3
5,again,9.302751e-10,30.001623,nwh-ngap,3
6,yesterday,2.0907999e-10,32.155228,nwh-ngap,3
7,today,9.6377e-08,23.306736,nwh-ngap,3
