Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
8.016375,V-sg,N-pl,1
3.26775,V-pl,N-pl,1
9.144074,V-sg,N-pl,1
3.634277,V-pl,N-pl,1
7.1387997,V-sg,N-pl,1
2.7812884,V-pl,N-pl,1
9.0645485,V-sg,N-pl,1
4.5290174,V-pl,N-pl,1
7.6100726,V-sg,N-pl,1
2.1527205,V-pl,N-pl,1
7.3923254,V-sg,N-pl,1
2.0462687,V-pl,N-pl,1
6.536427,V-sg,N-pl,1
0.1856402,V-pl,N-pl,1
4.5983605,V-sg,N-pl,1
0.80377537,V-pl,N-pl,1
4.1150804,V-sg,N-pl,1
0.61920965,V-pl,N-pl,1
5.983579,V-sg,N-pl,1
0.40634412,V-pl,N-pl,1
5.137888,V-sg,N-pl,1
2.2642365,V-pl,N-pl,1
6.228876,V-sg,N-pl,1
0.15729144,V-pl,N-pl,1
5.111462,V-sg,N-pl,1
0.24406701,V-pl,N-pl,1
5.1134224,V-sg,N-pl,1
0.22442217,V-pl,N-pl,1
6.0091896,V-sg,N-pl,1
0.8462801,V-pl,N-pl,1
3.3585706,V-sg,N-pl,1
8.384745,V-pl,N-pl,1
6.2120047,V-sg,N-pl,1
0.15711193,V-pl,N-pl,1
0.4491667,V-sg,N-pl,1
7.303446,V-pl,N-pl,1
4.03747,V-sg,N-pl,1
0.49884117,V-pl,N-pl,1
0.37340865,V-sg,N-pl,1
3.4252214,V-pl,N-pl,1
4.8452497,V-sg,N-sg,1
13.406862,V-pl,N-sg,1
5.884466,V-sg,N-sg,1
12.856892,V-pl,N-sg,1
3.0865839,V-sg,N-sg,1
10.645947,V-pl,N-sg,1
7.864398,V-sg,N-sg,1
13.009733,V-pl,N-sg,1
4.2362323,V-sg,N-sg,1
12.458727,V-pl,N-sg,1
3.9703457,V-sg,N-sg,1
10.896753,V-pl,N-sg,1
0.2082279,V-sg,N-sg,1
10.658881,V-pl,N-sg,1
0.7512437,V-sg,N-sg,1
10.777683,V-pl,N-sg,1
0.38195747,V-sg,N-sg,1
11.990447,V-pl,N-sg,1
0.3237492,V-sg,N-sg,1
12.321801,V-pl,N-sg,1
0.38991246,V-sg,N-sg,1
10.996914,V-pl,N-sg,1
0.24172248,V-sg,N-sg,1
12.151345,V-pl,N-sg,1
0.21402468,V-sg,N-sg,1
12.26432,V-pl,N-sg,1
0.21165395,V-sg,N-sg,1
10.80894,V-pl,N-sg,1
0.90354335,V-sg,N-sg,1
10.378617,V-pl,N-sg,1
2.2588806,V-sg,N-sg,1
11.52305,V-pl,N-sg,1
0.1794674,V-sg,N-sg,1
13.173886,V-pl,N-sg,1
0.24419494,V-sg,N-sg,1
11.953673,V-pl,N-sg,1
0.38173616,V-sg,N-sg,1
11.242105,V-pl,N-sg,1
0.32104093,V-sg,N-sg,1
9.720865,V-pl,N-sg,1
5.6803865,V-sg,N-pl,2
0.5239638,V-pl,N-pl,2
6.2894487,V-sg,N-pl,2
0.6088432,V-pl,N-pl,2
6.3189745,V-sg,N-pl,2
0.43731982,V-pl,N-pl,2
6.4838824,V-sg,N-pl,2
0.6504079,V-pl,N-pl,2
6.10485,V-sg,N-pl,2
0.33327517,V-pl,N-pl,2
6.272351,V-sg,N-pl,2
0.37794718,V-pl,N-pl,2
3.793089,V-sg,N-pl,2
0.43903366,V-pl,N-pl,2
3.9820282,V-sg,N-pl,2
0.63293445,V-pl,N-pl,2
2.5415707,V-sg,N-pl,2
0.5325575,V-pl,N-pl,2
3.6150768,V-sg,N-pl,2
0.37683898,V-pl,N-pl,2
1.64828,V-sg,N-pl,2
1.5449885,V-pl,N-pl,2
4.0016418,V-sg,N-pl,2
0.37092692,V-pl,N-pl,2
3.0482273,V-sg,N-pl,2
0.61519265,V-pl,N-pl,2
1.1134158,V-sg,N-pl,2
1.8319265,V-pl,N-pl,2
3.636315,V-sg,N-pl,2
0.76838887,V-pl,N-pl,2
0.46037742,V-sg,N-pl,2
3.9406087,V-pl,N-pl,2
3.9269495,V-sg,N-pl,2
0.367928,V-pl,N-pl,2
0.4053888,V-sg,N-pl,2
4.199758,V-pl,N-pl,2
2.0384955,V-sg,N-pl,2
0.8687575,V-pl,N-pl,2
0.9427213,V-sg,N-pl,2
1.700792,V-pl,N-pl,2
0.46169087,V-sg,N-sg,2
6.7081323,V-pl,N-sg,2
0.5997447,V-sg,N-sg,2
6.0894513,V-pl,N-sg,2
0.6055831,V-sg,N-sg,2
4.7511835,V-pl,N-sg,2
1.1980499,V-sg,N-sg,2
5.5749445,V-pl,N-sg,2
0.44122943,V-sg,N-sg,2
7.1130514,V-pl,N-sg,2
0.534376,V-sg,N-sg,2
5.881714,V-pl,N-sg,2
0.42831665,V-sg,N-sg,2
5.332011,V-pl,N-sg,2
0.6345993,V-sg,N-sg,2
6.9961915,V-pl,N-sg,2
0.25756338,V-sg,N-sg,2
6.4747624,V-pl,N-sg,2
0.25208578,V-sg,N-sg,2
6.320971,V-pl,N-sg,2
0.32966423,V-sg,N-sg,2
5.586197,V-pl,N-sg,2
0.34833676,V-sg,N-sg,2
5.2710276,V-pl,N-sg,2
0.3978349,V-sg,N-sg,2
5.824581,V-pl,N-sg,2
0.44968322,V-sg,N-sg,2
5.4403033,V-pl,N-sg,2
0.6104331,V-sg,N-sg,2
6.163262,V-pl,N-sg,2
0.50725615,V-sg,N-sg,2
4.656032,V-pl,N-sg,2
0.34805083,V-sg,N-sg,2
6.337693,V-pl,N-sg,2
0.34128,V-sg,N-sg,2
5.79485,V-pl,N-sg,2
0.2996352,V-sg,N-sg,2
5.811784,V-pl,N-sg,2
0.35278225,V-sg,N-sg,2
5.6416755,V-pl,N-sg,2
5.1628914,V-sg,N-pl,3
0.3788318,V-pl,N-pl,3
5.830547,V-sg,N-pl,3
0.46803546,V-pl,N-pl,3
5.976681,V-sg,N-pl,3
0.2865168,V-pl,N-pl,3
5.512044,V-sg,N-pl,3
0.6599928,V-pl,N-pl,3
5.8738794,V-sg,N-pl,3
0.26700434,V-pl,N-pl,3
6.1161757,V-sg,N-pl,3
0.37387502,V-pl,N-pl,3
4.3777976,V-sg,N-pl,3
0.20161304,V-pl,N-pl,3
4.376088,V-sg,N-pl,3
0.26049665,V-pl,N-pl,3
3.7527435,V-sg,N-pl,3
0.29866308,V-pl,N-pl,3
4.244884,V-sg,N-pl,3
0.24307358,V-pl,N-pl,3
2.394443,V-sg,N-pl,3
0.53301835,V-pl,N-pl,3
4.5980763,V-sg,N-pl,3
0.16706972,V-pl,N-pl,3
4.4370394,V-sg,N-pl,3
0.20815101,V-pl,N-pl,3
0.9879312,V-sg,N-pl,3
1.4852474,V-pl,N-pl,3
4.2763624,V-sg,N-pl,3
0.33940285,V-pl,N-pl,3
0.46485648,V-sg,N-pl,3
3.201417,V-pl,N-pl,3
4.410763,V-sg,N-pl,3
