Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
8.58018,V-sg,N-pl,1
4.0525117,V-pl,N-pl,1
9.590583,V-sg,N-pl,1
4.5430365,V-pl,N-pl,1
8.276288,V-sg,N-pl,1
3.0262473,V-pl,N-pl,1
10.280867,V-sg,N-pl,1
5.68318,V-pl,N-pl,1
8.187377,V-sg,N-pl,1
3.467438,V-pl,N-pl,1
8.395224,V-sg,N-pl,1
3.7626483,V-pl,N-pl,1
8.019047,V-sg,N-pl,1
0.24726778,V-pl,N-pl,1
5.164676,V-sg,N-pl,1
0.6393367,V-pl,N-pl,1
3.4696498,V-sg,N-pl,1
0.34650126,V-pl,N-pl,1
6.1211653,V-sg,N-pl,1
0.17873128,V-pl,N-pl,1
5.5718975,V-sg,N-pl,1
0.84002304,V-pl,N-pl,1
7.157831,V-sg,N-pl,1
0.13419302,V-pl,N-pl,1
6.320692,V-sg,N-pl,1
0.22561437,V-pl,N-pl,1
6.1322465,V-sg,N-pl,1
0.24705519,V-pl,N-pl,1
6.3794994,V-sg,N-pl,1
0.77875936,V-pl,N-pl,1
0.34867933,V-sg,N-pl,1
6.4019184,V-pl,N-pl,1
6.468382,V-sg,N-pl,1
0.15194093,V-pl,N-pl,1
0.2356863,V-sg,N-pl,1
7.4127727,V-pl,N-pl,1
4.3280935,V-sg,N-pl,1
0.2728227,V-pl,N-pl,1
0.42181668,V-sg,N-pl,1
2.9453595,V-pl,N-pl,1
4.706301,V-sg,N-sg,1
13.673895,V-pl,N-sg,1
6.4778776,V-sg,N-sg,1
13.781272,V-pl,N-sg,1
3.6939082,V-sg,N-sg,1
11.667549,V-pl,N-sg,1
8.05854,V-sg,N-sg,1
13.016193,V-pl,N-sg,1
4.833136,V-sg,N-sg,1
13.606934,V-pl,N-sg,1
5.3226943,V-sg,N-sg,1
12.435412,V-pl,N-sg,1
0.22614063,V-sg,N-sg,1
11.154761,V-pl,N-sg,1
0.5710901,V-sg,N-sg,1
12.511137,V-pl,N-sg,1
0.21645087,V-sg,N-sg,1
11.80806,V-pl,N-sg,1
0.20175545,V-sg,N-sg,1
12.491682,V-pl,N-sg,1
0.27339682,V-sg,N-sg,1
11.456597,V-pl,N-sg,1
0.19429155,V-sg,N-sg,1
12.468163,V-pl,N-sg,1
0.21032906,V-sg,N-sg,1
12.862322,V-pl,N-sg,1
0.22887287,V-sg,N-sg,1
11.056002,V-pl,N-sg,1
0.683465,V-sg,N-sg,1
12.410131,V-pl,N-sg,1
0.29785913,V-sg,N-sg,1
10.846393,V-pl,N-sg,1
0.18639131,V-sg,N-sg,1
12.778256,V-pl,N-sg,1
0.20082255,V-sg,N-sg,1
11.761453,V-pl,N-sg,1
0.1935963,V-sg,N-sg,1
11.547423,V-pl,N-sg,1
0.24994813,V-sg,N-sg,1
10.358111,V-pl,N-sg,1
7.2701755,V-sg,N-pl,2
1.6757097,V-pl,N-pl,2
8.105151,V-sg,N-pl,2
1.7526195,V-pl,N-pl,2
8.298509,V-sg,N-pl,2
1.1459596,V-pl,N-pl,2
7.390551,V-sg,N-pl,2
1.2983314,V-pl,N-pl,2
7.1797023,V-sg,N-pl,2
1.3757508,V-pl,N-pl,2
7.429394,V-sg,N-pl,2
1.2497435,V-pl,N-pl,2
6.245168,V-sg,N-pl,2
0.2661526,V-pl,N-pl,2
5.0724277,V-sg,N-pl,2
0.2996038,V-pl,N-pl,2
3.8387628,V-sg,N-pl,2
0.47793826,V-pl,N-pl,2
5.515215,V-sg,N-pl,2
0.39374188,V-pl,N-pl,2
3.065675,V-sg,N-pl,2
0.6820147,V-pl,N-pl,2
5.8036723,V-sg,N-pl,2
0.33643168,V-pl,N-pl,2
5.192968,V-sg,N-pl,2
0.3977532,V-pl,N-pl,2
2.063212,V-sg,N-pl,2
1.1233474,V-pl,N-pl,2
5.582883,V-sg,N-pl,2
0.36768112,V-pl,N-pl,2
0.6784551,V-sg,N-pl,2
4.0576844,V-pl,N-pl,2
5.641383,V-sg,N-pl,2
0.32468113,V-pl,N-pl,2
0.6203203,V-sg,N-pl,2
4.5126824,V-pl,N-pl,2
3.7401173,V-sg,N-pl,2
0.6586559,V-pl,N-pl,2
1.9694661,V-sg,N-pl,2
1.0961711,V-pl,N-pl,2
0.90406317,V-sg,N-sg,2
9.303431,V-pl,N-sg,2
1.3585486,V-sg,N-sg,2
9.301653,V-pl,N-sg,2
0.91359246,V-sg,N-sg,2
7.523181,V-pl,N-sg,2
1.5017209,V-sg,N-sg,2
7.718533,V-pl,N-sg,2
1.0364563,V-sg,N-sg,2
9.028012,V-pl,N-sg,2
1.0443509,V-sg,N-sg,2
8.441706,V-pl,N-sg,2
0.3816938,V-sg,N-sg,2
5.9400177,V-pl,N-sg,2
0.19100058,V-sg,N-sg,2
8.924121,V-pl,N-sg,2
0.37161842,V-sg,N-sg,2
6.807614,V-pl,N-sg,2
0.40553972,V-sg,N-sg,2
6.961656,V-pl,N-sg,2
0.46296647,V-sg,N-sg,2
6.1754513,V-pl,N-sg,2
0.3887329,V-sg,N-sg,2
6.3263445,V-pl,N-sg,2
0.3513419,V-sg,N-sg,2
6.9784527,V-pl,N-sg,2
0.47972015,V-sg,N-sg,2
5.986441,V-pl,N-sg,2
0.29552796,V-sg,N-sg,2
8.348236,V-pl,N-sg,2
0.52854866,V-sg,N-sg,2
5.412941,V-pl,N-sg,2
0.32711017,V-sg,N-sg,2
7.3599916,V-pl,N-sg,2
0.52627975,V-sg,N-sg,2
6.2870355,V-pl,N-sg,2
0.53351974,V-sg,N-sg,2
6.358012,V-pl,N-sg,2
0.40273908,V-sg,N-sg,2
6.2036147,V-pl,N-sg,2
5.56683,V-sg,N-pl,3
2.035729,V-pl,N-pl,3
6.8743553,V-sg,N-pl,3
2.7603376,V-pl,N-pl,3
6.6760244,V-sg,N-pl,3
1.3759313,V-pl,N-pl,3
7.147052,V-sg,N-pl,3
3.1577835,V-pl,N-pl,3
5.8828897,V-sg,N-pl,3
2.2176752,V-pl,N-pl,3
6.532862,V-sg,N-pl,3
2.7398424,V-pl,N-pl,3
6.162662,V-sg,N-pl,3
0.09495589,V-pl,N-pl,3
4.418336,V-sg,N-pl,3
0.18574534,V-pl,N-pl,3
3.2510383,V-sg,N-pl,3
0.3802889,V-pl,N-pl,3
4.5079513,V-sg,N-pl,3
0.21437801,V-pl,N-pl,3
1.8871408,V-sg,N-pl,3
0.7042494,V-pl,N-pl,3
5.1116576,V-sg,N-pl,3
0.16478033,V-pl,N-pl,3
5.573576,V-sg,N-pl,3
0.12152909,V-pl,N-pl,3
1.5177475,V-sg,N-pl,3
0.986723,V-pl,N-pl,3
4.76112,V-sg,N-pl,3
0.23201583,V-pl,N-pl,3
0.41170385,V-sg,N-pl,3
3.656308,V-pl,N-pl,3
4.269579,V-sg,N-pl,3
0.20664148,V-pl,N-pl,3
0.36348113,V-sg,N-pl,3
3.9736462,V-pl,N-pl,3
3.4622476,V-sg,N-pl,3
0.33998376,V-pl,N-pl,3
1.9105188,V-sg,N-pl,3
0.78733444,V-pl,N-pl,3
1.3078766,V-sg,N-sg,3
8.291966,V-pl,N-sg,3
2.8950298,V-sg,N-sg,3
9.103131,V-pl,N-sg,3
0.8225481,V-sg,N-sg,3
6.8190975,V-pl,N-sg,3
4.3889446,V-sg,N-sg,3
8.29853,V-pl,N-sg,3
2.8128781,V-sg,N-sg,3
8.664607,V-pl,N-sg,3
3.1501203,V-sg,N-sg,3
8.0064125,V-pl,N-sg,3
0.13963561,V-sg,N-sg,3
5.3183527,V-pl,N-sg,3
0.15489025,V-sg,N-sg,3
5.6946783,V-pl,N-sg,3
0.17701642,V-sg,N-sg,3
5.966658,V-pl,N-sg,3
0.15377574,V-sg,N-sg,3
6.1981034,V-pl,N-sg,3
0.18025143,V-sg,N-sg,3
5.5308204,V-pl,N-sg,3
0.1577238,V-sg,N-sg,3
5.9031496,V-pl,N-sg,3
0.08544734,V-sg,N-sg,3
7.0296497,V-pl,N-sg,3
0.23329914,V-sg,N-sg,3
4.9682884,V-pl,N-sg,3
0.15637352,V-sg,N-sg,3
6.064266,V-pl,N-sg,3
0.41653672,V-sg,N-sg,3
4.3176026,V-pl,N-sg,3
0.124429956,V-sg,N-sg,3
6.574785,V-pl,N-sg,3
0.21810524,V-sg,N-sg,3
5.329632,V-pl,N-sg,3
0.19446266,V-sg,N-sg,3
5.494906,V-pl,N-sg,3
0.18813772,V-sg,N-sg,3
5.4806232,V-pl,N-sg,3
5.854537,V-sg,N-pl,4
3.8276496,V-pl,N-pl,4
6.900858,V-sg,N-pl,4
4.5622563,V-pl,N-pl,4
5.5707855,V-sg,N-pl,4
3.2868469,V-pl,N-pl,4
6.998726,V-sg,N-pl,4
4.9486065,V-pl,N-pl,4
6.1774282,V-sg,N-pl,4
3.5751665,V-pl,N-pl,4
6.548965,V-sg,N-pl,4
3.9980521,V-pl,N-pl,4
2.6484807,V-sg,N-pl,4
1.4175498,V-pl,N-pl,4
3.387004,V-sg,N-pl,4
3.0140705,V-pl,N-pl,4
2.8321307,V-sg,N-pl,4
2.8014724,V-pl,N-pl,4
2.767075,V-sg,N-pl,4
2.275297,V-pl,N-pl,4
2.1454346,V-sg,N-pl,4
2.644963,V-pl,N-pl,4
2.8102288,V-sg,N-pl,4
1.6906519,V-pl,N-pl,4
2.6225774,V-sg,N-pl,4
2.0345275,V-pl,N-pl,4
2.2694013,V-sg,N-pl,4
1.6929183,V-pl,N-pl,4
3.3643546,V-sg,N-pl,4
1.7150259,V-pl,N-pl,4
2.170694,V-sg,N-pl,4
3.9754567,V-pl,N-pl,4
2.4303699,V-sg,N-pl,4
1.8879447,V-pl,N-pl,4
2.3952758,V-sg,N-pl,4
4.313024,V-pl,N-pl,4
2.0207748,V-sg,N-pl,4
2.162219,V-pl,N-pl,4
1.9859056,V-sg,N-pl,4
3.1344512,V-pl,N-pl,4
2.9550378,V-sg,N-sg,4
5.459053,V-pl,N-sg,4
4.6492786,V-sg,N-sg,4
6.1273403,V-pl,N-sg,4
2.94729,V-sg,N-sg,4
5.076527,V-pl,N-sg,4
5.8232045,V-sg,N-sg,4
6.501376,V-pl,N-sg,4
3.9327304,V-sg,N-sg,4
5.4705553,V-pl,N-sg,4
4.764015,V-sg,N-sg,4
5.3642635,V-pl,N-sg,4
1.1623206,V-sg,N-sg,4
3.7806616,V-pl,N-sg,4
2.083678,V-sg,N-sg,4
3.8400025,V-pl,N-sg,4
1.0939248,V-sg,N-sg,4
4.3810334,V-pl,N-sg,4
1.046499,V-sg,N-sg,4
4.128234,V-pl,N-sg,4
1.1903645,V-sg,N-sg,4
4.3288484,V-pl,N-sg,4
1.0488218,V-sg,N-sg,4
4.087078,V-pl,N-sg,4
0.9263783,V-sg,N-sg,4
4.241026,V-pl,N-sg,4
2.2090437,V-sg,N-sg,4
4.3210588,V-pl,N-sg,4
0.64095736,V-sg,N-sg,4
5.055221,V-pl,N-sg,4
2.3422132,V-sg,N-sg,4
4.266193,V-pl,N-sg,4
0.54800165,V-sg,N-sg,4
4.6231375,V-pl,N-sg,4
2.1258407,V-sg,N-sg,4
4.386869,V-pl,N-sg,4
1.3329377,V-sg,N-sg,4
4.117526,V-pl,N-sg,4
1.145424,V-sg,N-sg,4
3.909452,V-pl,N-sg,4
