Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.7585087,V-sg,N-pl,1
2.462115,V-pl,N-pl,1
8.131047,V-sg,N-pl,1
2.9279861,V-pl,N-pl,1
7.79311,V-sg,N-pl,1
1.472339,V-pl,N-pl,1
7.5524096,V-sg,N-pl,1
4.0107875,V-pl,N-pl,1
6.989079,V-sg,N-pl,1
1.8653575,V-pl,N-pl,1
7.336256,V-sg,N-pl,1
2.6255245,V-pl,N-pl,1
5.9907784,V-sg,N-pl,1
0.94574696,V-pl,N-pl,1
10.575483,V-sg,N-pl,1
3.438701,V-pl,N-pl,1
5.384281,V-sg,N-pl,1
0.9654468,V-pl,N-pl,1
7.0613904,V-sg,N-pl,1
1.1832463,V-pl,N-pl,1
6.3652687,V-sg,N-pl,1
0.83275187,V-pl,N-pl,1
6.956361,V-sg,N-pl,1
1.2253993,V-pl,N-pl,1
6.7147274,V-sg,N-pl,1
0.8784837,V-pl,N-pl,1
7.5684066,V-sg,N-pl,1
1.2561302,V-pl,N-pl,1
13.541064,V-sg,N-pl,1
5.0476704,V-pl,N-pl,1
7.0551467,V-sg,N-pl,1
1.9635164,V-pl,N-pl,1
7.459127,V-sg,N-pl,1
1.3243188,V-pl,N-pl,1
6.5326033,V-sg,N-pl,1
1.1174971,V-pl,N-pl,1
8.09284,V-sg,N-pl,1
1.6214451,V-pl,N-pl,1
7.4733415,V-sg,N-pl,1
1.2968956,V-pl,N-pl,1
2.1891549,V-sg,N-sg,1
10.617574,V-pl,N-sg,1
2.4460812,V-sg,N-sg,1
10.295603,V-pl,N-sg,1
1.4651308,V-sg,N-sg,1
8.6427555,V-pl,N-sg,1
5.6951275,V-sg,N-sg,1
10.316187,V-pl,N-sg,1
1.7025884,V-sg,N-sg,1
9.38803,V-pl,N-sg,1
2.0287712,V-sg,N-sg,1
8.804218,V-pl,N-sg,1
0.8479354,V-sg,N-sg,1
8.441954,V-pl,N-sg,1
2.364327,V-sg,N-sg,1
11.824631,V-pl,N-sg,1
0.8511993,V-sg,N-sg,1
8.063141,V-pl,N-sg,1
0.7097214,V-sg,N-sg,1
7.96073,V-pl,N-sg,1
0.7206038,V-sg,N-sg,1
8.379116,V-pl,N-sg,1
0.8643718,V-sg,N-sg,1
7.6344757,V-pl,N-sg,1
0.6178176,V-sg,N-sg,1
8.178665,V-pl,N-sg,1
0.6762657,V-sg,N-sg,1
8.152784,V-pl,N-sg,1
4.05041,V-sg,N-sg,1
12.023873,V-pl,N-sg,1
1.3342165,V-sg,N-sg,1
8.438058,V-pl,N-sg,1
1.0078961,V-sg,N-sg,1
8.594792,V-pl,N-sg,1
0.6774702,V-sg,N-sg,1
7.7504797,V-pl,N-sg,1
1.0449243,V-sg,N-sg,1
9.318765,V-pl,N-sg,1
1.1005381,V-sg,N-sg,1
8.522269,V-pl,N-sg,1
4.816641,V-sg,N-pl,2
0.9751324,V-pl,N-pl,2
5.5436788,V-sg,N-pl,2
0.9209523,V-pl,N-pl,2
1.4148616,V-sg,N-pl,2
