Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
7.8271413,V-sg,N-pl,1
3.357326,V-pl,N-pl,1
9.152534,V-sg,N-pl,1
5.035528,V-pl,N-pl,1
8.338021,V-sg,N-pl,1
3.8536901,V-pl,N-pl,1
12.645964,V-sg,N-pl,1
10.256403,V-pl,N-pl,1
7.374147,V-sg,N-pl,1
3.454546,V-pl,N-pl,1
8.229238,V-sg,N-pl,1
4.879475,V-pl,N-pl,1
7.155095,V-sg,N-pl,1
0.6386006,V-pl,N-pl,1
9.338262,V-sg,N-pl,1
2.5449326,V-pl,N-pl,1
2.8440013,V-sg,N-pl,1
0.66519684,V-pl,N-pl,1
6.8416557,V-sg,N-pl,1
0.60205907,V-pl,N-pl,1
5.4556365,V-sg,N-pl,1
0.5267185,V-pl,N-pl,1
7.051892,V-sg,N-pl,1
0.6398656,V-pl,N-pl,1
6.8591204,V-sg,N-pl,1
0.62760955,V-pl,N-pl,1
7.3112583,V-sg,N-pl,1
0.73765737,V-pl,N-pl,1
12.592015,V-sg,N-pl,1
4.4340997,V-pl,N-pl,1
5.958493,V-sg,N-pl,1
0.7915692,V-pl,N-pl,1
7.3725185,V-sg,N-pl,1
0.53795576,V-pl,N-pl,1
6.16166,V-sg,N-pl,1
0.43615252,V-pl,N-pl,1
7.6157045,V-sg,N-pl,1
0.64726174,V-pl,N-pl,1
7.131214,V-sg,N-pl,1
0.55490595,V-pl,N-pl,1
3.3810194,V-sg,N-sg,1
12.286503,V-pl,N-sg,1
5.2127886,V-sg,N-sg,1
12.8475895,V-pl,N-sg,1
4.0079765,V-sg,N-sg,1
10.933297,V-pl,N-sg,1
10.175145,V-sg,N-sg,1
14.492819,V-pl,N-sg,1
2.4076796,V-sg,N-sg,1
10.600347,V-pl,N-sg,1
4.0598373,V-sg,N-sg,1
10.696316,V-pl,N-sg,1
0.70153993,V-sg,N-sg,1
10.302877,V-pl,N-sg,1
1.7086674,V-sg,N-sg,1
12.2119255,V-pl,N-sg,1
0.5516249,V-sg,N-sg,1
8.772086,V-pl,N-sg,1
0.40270305,V-sg,N-sg,1
9.14628,V-pl,N-sg,1
0.39541307,V-sg,N-sg,1
9.15385,V-pl,N-sg,1
0.42267662,V-sg,N-sg,1
8.798651,V-pl,N-sg,1
0.4071049,V-sg,N-sg,1
9.564373,V-pl,N-sg,1
0.4498615,V-sg,N-sg,1
9.310029,V-pl,N-sg,1
3.2998655,V-sg,N-sg,1
12.4407425,V-pl,N-sg,1
0.55075675,V-sg,N-sg,1
7.997658,V-pl,N-sg,1
0.4370299,V-sg,N-sg,1
9.644517,V-pl,N-sg,1
0.25745043,V-sg,N-sg,1
9.008938,V-pl,N-sg,1
0.45397198,V-sg,N-sg,1
10.127189,V-pl,N-sg,1
0.5025355,V-sg,N-sg,1
9.732105,V-pl,N-sg,1
5.7965803,V-sg,N-pl,2
0.74276674,V-pl,N-pl,2
7.017004,V-sg,N-pl,2
0.8661692,V-pl,N-pl,2
1.069536,V-sg,N-pl,2
3.4016743,V-pl,N-pl,2
7.256074,V-sg,N-pl,2
0.9766759,V-pl,N-pl,2
6.6483707,V-sg,N-pl,2
0.59571373,V-pl,N-pl,2
6.865974,V-sg,N-pl,2
0.61980295,V-pl,N-pl,2
1.3330781,V-sg,N-pl,2
4.935767,V-pl,N-pl,2
5.6174645,V-sg,N-pl,2
0.46416673,V-pl,N-pl,2
1.4350235,V-sg,N-pl,2
2.8745458,V-pl,N-pl,2
1.2726676,V-sg,N-pl,2
3.8006916,V-pl,N-pl,2
1.976559,V-sg,N-pl,2
4.4627748,V-pl,N-pl,2
2.9850817,V-sg,N-pl,2
0.67318076,V-pl,N-pl,2
1.8137282,V-sg,N-pl,2
1.4685137,V-pl,N-pl,2
1.3863091,V-sg,N-pl,2
5.0317636,V-pl,N-pl,2
6.2181253,V-sg,N-pl,2
0.49877083,V-pl,N-pl,2
1.6718137,V-sg,N-pl,2
4.1470017,V-pl,N-pl,2
1.6984558,V-sg,N-pl,2
1.2337091,V-pl,N-pl,2
1.656221,V-sg,N-pl,2
4.177513,V-pl,N-pl,2
1.1203381,V-sg,N-pl,2
2.8449993,V-pl,N-pl,2
1.4576646,V-sg,N-pl,2
4.0201197,V-pl,N-pl,2
0.7019507,V-sg,N-sg,2
8.611924,V-pl,N-sg,2
0.9760345,V-sg,N-sg,2
8.939647,V-pl,N-sg,2
0.69688976,V-sg,N-sg,2
3.5047774,V-pl,N-sg,2
0.7794491,V-sg,N-sg,2
4.49775,V-pl,N-sg,2
0.6575146,V-sg,N-sg,2
