Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
20.063053,V-sg,N-pl,1
18.410017,V-pl,N-pl,1
19.916824,V-sg,N-pl,1
18.0488,V-pl,N-pl,1
20.649357,V-sg,N-pl,1
17.86862,V-pl,N-pl,1
19.664188,V-sg,N-pl,1
19.069773,V-pl,N-pl,1
20.061802,V-sg,N-pl,1
18.448654,V-pl,N-pl,1
20.471825,V-sg,N-pl,1
18.402374,V-pl,N-pl,1
20.43679,V-sg,N-pl,1
18.48954,V-pl,N-pl,1
20.711002,V-sg,N-pl,1
18.884605,V-pl,N-pl,1
20.503597,V-sg,N-pl,1
18.543776,V-pl,N-pl,1
20.23643,V-sg,N-pl,1
18.629005,V-pl,N-pl,1
20.809116,V-sg,N-pl,1
18.528929,V-pl,N-pl,1
19.950413,V-sg,N-pl,1
18.17205,V-pl,N-pl,1
21.282104,V-sg,N-pl,1
19.246841,V-pl,N-pl,1
20.470905,V-sg,N-pl,1
17.986189,V-pl,N-pl,1
20.10749,V-sg,N-pl,1
17.32224,V-pl,N-pl,1
18.928444,V-sg,N-pl,1
18.724222,V-pl,N-pl,1
20.627409,V-sg,N-pl,1
18.65143,V-pl,N-pl,1
20.077232,V-sg,N-pl,1
18.497744,V-pl,N-pl,1
20.002726,V-sg,N-pl,1
18.415752,V-pl,N-pl,1
19.30274,V-sg,N-pl,1
17.936718,V-pl,N-pl,1
19.373878,V-sg,N-sg,1
26.342913,V-pl,N-sg,1
19.209703,V-sg,N-sg,1
25.810095,V-pl,N-sg,1
19.161133,V-sg,N-sg,1
26.191057,V-pl,N-sg,1
19.187,V-sg,N-sg,1
25.843725,V-pl,N-sg,1
19.365074,V-sg,N-sg,1
26.66087,V-pl,N-sg,1
19.610086,V-sg,N-sg,1
26.453222,V-pl,N-sg,1
19.778875,V-sg,N-sg,1
27.277298,V-pl,N-sg,1
19.74417,V-sg,N-sg,1
27.373419,V-pl,N-sg,1
20.1425,V-sg,N-sg,1
27.09421,V-pl,N-sg,1
19.74082,V-sg,N-sg,1
26.712759,V-pl,N-sg,1
19.763256,V-sg,N-sg,1
27.21743,V-pl,N-sg,1
19.117456,V-sg,N-sg,1
26.424997,V-pl,N-sg,1
20.623945,V-sg,N-sg,1
27.546926,V-pl,N-sg,1
19.106245,V-sg,N-sg,1
26.786455,V-pl,N-sg,1
18.766321,V-sg,N-sg,1
25.05535,V-pl,N-sg,1
18.322567,V-sg,N-sg,1
25.732735,V-pl,N-sg,1
19.864632,V-sg,N-sg,1
26.79686,V-pl,N-sg,1
19.217955,V-sg,N-sg,1
26.732313,V-pl,N-sg,1
19.178265,V-sg,N-sg,1
26.881523,V-pl,N-sg,1
19.245564,V-sg,N-sg,1
26.122007,V-pl,N-sg,1
19.742765,V-sg,N-pl,2
16.188398,V-pl,N-pl,2
19.800684,V-sg,N-pl,2
16.020014,V-pl,N-pl,2
20.332277,V-sg,N-pl,2
15.84162,V-pl,N-pl,2
19.73538,V-sg,N-pl,2
16.858225,V-pl,N-pl,2
19.897692,V-sg,N-pl,2
15.971666,V-pl,N-pl,2
20.189745,V-sg,N-pl,2
16.208948,V-pl,N-pl,2
20.077066,V-sg,N-pl,2
16.440939,V-pl,N-pl,2
19.809828,V-sg,N-pl,2
16.410393,V-pl,N-pl,2
19.533752,V-sg,N-pl,2
15.925429,V-pl,N-pl,2
19.463379,V-sg,N-pl,2
16.164085,V-pl,N-pl,2
20.417797,V-sg,N-pl,2
16.987104,V-pl,N-pl,2
19.869598,V-sg,N-pl,2
16.054787,V-pl,N-pl,2
20.227976,V-sg,N-pl,2
16.292727,V-pl,N-pl,2
19.775345,V-sg,N-pl,2
15.784555,V-pl,N-pl,2
19.754576,V-sg,N-pl,2
15.293923,V-pl,N-pl,2
18.45438,V-sg,N-pl,2
15.95313,V-pl,N-pl,2
19.655565,V-sg,N-pl,2
16.340334,V-pl,N-pl,2
19.320696,V-sg,N-pl,2
15.925643,V-pl,N-pl,2
19.8305,V-sg,N-pl,2
16.245049,V-pl,N-pl,2
19.457,V-sg,N-pl,2
16.136377,V-pl,N-pl,2
19.02761,V-sg,N-sg,2
22.125257,V-pl,N-sg,2
19.12791,V-sg,N-sg,2
22.113243,V-pl,N-sg,2
18.653988,V-sg,N-sg,2
21.750006,V-pl,N-sg,2
18.60452,V-sg,N-sg,2
20.842354,V-pl,N-sg,2
19.043669,V-sg,N-sg,2
22.019007,V-pl,N-sg,2
19.30765,V-sg,N-sg,2
22.188549,V-pl,N-sg,2
19.213299,V-sg,N-sg,2
22.435986,V-pl,N-sg,2
18.823769,V-sg,N-sg,2
21.706562,V-pl,N-sg,2
19.123465,V-sg,N-sg,2
21.447437,V-pl,N-sg,2
18.472528,V-sg,N-sg,2
21.039621,V-pl,N-sg,2
19.454796,V-sg,N-sg,2
22.018082,V-pl,N-sg,2
18.308632,V-sg,N-sg,2
21.603676,V-pl,N-sg,2
19.10884,V-sg,N-sg,2
21.834146,V-pl,N-sg,2
18.4534,V-sg,N-sg,2
21.282478,V-pl,N-sg,2
18.457653,V-sg,N-sg,2
21.340511,V-pl,N-sg,2
18.062008,V-sg,N-sg,2
19.94938,V-pl,N-sg,2
19.009386,V-sg,N-sg,2
21.68635,V-pl,N-sg,2
18.185053,V-sg,N-sg,2
20.862677,V-pl,N-sg,2
19.201096,V-sg,N-sg,2
22.447468,V-pl,N-sg,2
19.220392,V-sg,N-sg,2
22.511145,V-pl,N-sg,2
20.454227,V-sg,N-pl,3
15.385521,V-pl,N-pl,3
20.508173,V-sg,N-pl,3
15.29081,V-pl,N-pl,3
21.558739,V-sg,N-pl,3
15.763568,V-pl,N-pl,3
20.210674,V-sg,N-pl,3
16.202833,V-pl,N-pl,3
20.753202,V-sg,N-pl,3
15.450522,V-pl,N-pl,3
21.108183,V-sg,N-pl,3
15.682116,V-pl,N-pl,3
20.922771,V-sg,N-pl,3
15.901571,V-pl,N-pl,3
20.768768,V-sg,N-pl,3
15.899464,V-pl,N-pl,3
20.233452,V-sg,N-pl,3
15.515293,V-pl,N-pl,3
20.239271,V-sg,N-pl,3
15.879003,V-pl,N-pl,3
20.43789,V-sg,N-pl,3
15.82894,V-pl,N-pl,3
20.427298,V-sg,N-pl,3
15.714301,V-pl,N-pl,3
21.656921,V-sg,N-pl,3
16.432722,V-pl,N-pl,3
20.428778,V-sg,N-pl,3
15.449591,V-pl,N-pl,3
21.01136,V-sg,N-pl,3
15.01954,V-pl,N-pl,3
18.451752,V-sg,N-pl,3
15.040089,V-pl,N-pl,3
20.88758,V-sg,N-pl,3
15.770114,V-pl,N-pl,3
20.116676,V-sg,N-pl,3
15.511659,V-pl,N-pl,3
20.636097,V-sg,N-pl,3
15.736579,V-pl,N-pl,3
19.839005,V-sg,N-pl,3
15.472714,V-pl,N-pl,3
19.545774,V-sg,N-sg,3
20.06596,V-pl,N-sg,3
19.61261,V-sg,N-sg,3
19.929068,V-pl,N-sg,3
19.808617,V-sg,N-sg,3
20.209675,V-pl,N-sg,3
18.82735,V-sg,N-sg,3
19.255949,V-pl,N-sg,3
19.581404,V-sg,N-sg,3
20.79695,V-pl,N-sg,3
19.823526,V-sg,N-sg,3
20.286928,V-pl,N-sg,3
19.828274,V-sg,N-sg,3
20.811058,V-pl,N-sg,3
19.19431,V-sg,N-sg,3
19.820602,V-pl,N-sg,3
19.435602,V-sg,N-sg,3
20.237288,V-pl,N-sg,3
19.075054,V-sg,N-sg,3
20.103308,V-pl,N-sg,3
19.481115,V-sg,N-sg,3
20.427002,V-pl,N-sg,3
18.920017,V-sg,N-sg,3
19.519167,V-pl,N-sg,3
20.33419,V-sg,N-sg,3
21.203041,V-pl,N-sg,3
18.31452,V-sg,N-sg,3
18.970882,V-pl,N-sg,3
19.537994,V-sg,N-sg,3
19.719276,V-pl,N-sg,3
17.729143,V-sg,N-sg,3
18.223661,V-pl,N-sg,3
19.563364,V-sg,N-sg,3
19.930258,V-pl,N-sg,3
18.67317,V-sg,N-sg,3
19.675898,V-pl,N-sg,3
19.692133,V-sg,N-sg,3
