SentenceID, Surprisal, Condition, EmbeddingLevel
1,14.847182,wh-ngap,1
2,16.869812,wh-ngap,1
3,15.329071,wh-ngap,1
4,15.73394,wh-ngap,1
5,15.750024,wh-ngap,1
6,16.077784,wh-ngap,1
7,14.888247,wh-ngap,1
8,16.601461,wh-ngap,1
9,16.16533,wh-ngap,1
10,17.104496,wh-ngap,1
1,15.451053,wh-gap,1
2,17.618809,wh-gap,1
3,15.921397,wh-gap,1
4,15.553933,wh-gap,1
5,16.88306,wh-gap,1
6,16.892082,wh-gap,1
7,15.55782,wh-gap,1
8,18.206038,wh-gap,1
9,16.498516,wh-gap,1
10,18.150349,wh-gap,1
1,15.233965,nwh-ngap,1
2,17.021782,nwh-ngap,1
3,15.932274,nwh-ngap,1
4,15.147015,nwh-ngap,1
5,15.817805,nwh-ngap,1
6,15.693299,nwh-ngap,1
7,15.018395,nwh-ngap,1
8,16.531437,nwh-ngap,1
9,15.0329275,nwh-ngap,1
10,17.540117,nwh-ngap,1
1,16.463259,nwh-gap,1
2,17.441328,nwh-gap,1
3,16.105654,nwh-gap,1
4,16.68437,nwh-gap,1
5,16.94993,nwh-gap,1
6,17.02269,nwh-gap,1
7,16.887611,nwh-gap,1
8,18.431007,nwh-gap,1
9,16.256168,nwh-gap,1
10,18.205507,nwh-gap,1
1,14.724423,wh-ngap,2
2,16.648487,wh-ngap,2
3,15.440944,wh-ngap,2
4,15.400962,wh-ngap,2
5,15.336711,wh-ngap,2
6,15.190163,wh-ngap,2
7,15.1156845,wh-ngap,2
8,16.466097,wh-ngap,2
9,15.66532,wh-ngap,2
10,17.136374,wh-ngap,2
1,14.887982,wh-gap,2
2,17.083729,wh-gap,2
3,15.387501,wh-gap,2
4,14.979611,wh-gap,2
5,16.220789,wh-gap,2
6,16.181202,wh-gap,2
7,15.712243,wh-gap,2
8,17.892769,wh-gap,2
9,15.906697,wh-gap,2
10,18.339828,wh-gap,2
1,16.030617,nwh-ngap,2
2,17.951881,nwh-ngap,2
3,17.59906,nwh-ngap,2
4,15.251391,nwh-ngap,2
5,15.858422,nwh-ngap,2
6,15.978814,nwh-ngap,2
7,16.135862,nwh-ngap,2
8,17.101942,nwh-ngap,2
9,15.684536,nwh-ngap,2
10,18.575901,nwh-ngap,2
1,16.64419,nwh-gap,2
2,17.920828,nwh-gap,2
3,16.74112,nwh-gap,2
4,16.680065,nwh-gap,2
5,17.193624,nwh-gap,2
6,16.596943,nwh-gap,2
7,17.450306,nwh-gap,2
8,18.13398,nwh-gap,2
9,16.949497,nwh-gap,2
10,18.887491,nwh-gap,2
1,14.861209,wh-ngap,3
2,16.33978,wh-ngap,3
3,15.614186,wh-ngap,3
4,15.017453,wh-ngap,3
5,15.077697,wh-ngap,3
6,15.277915,wh-ngap,3
7,14.720334,wh-ngap,3
8,15.266728,wh-ngap,3
9,15.650646,wh-ngap,3
10,16.14208,wh-ngap,3
1,14.661699,wh-gap,3
2,16.751287,wh-gap,3
3,15.531639,wh-gap,3
4,14.854812,wh-gap,3
5,16.38549,wh-gap,3
6,16.30099,wh-gap,3
7,15.933253,wh-gap,3
8,17.083918,wh-gap,3
9,16.459301,wh-gap,3
10,17.213217,wh-gap,3
1,16.164732,nwh-ngap,3
2,18.1284,nwh-ngap,3
3,18.063374,nwh-ngap,3
4,15.364037,nwh-ngap,3
5,15.575742,nwh-ngap,3
6,16.130371,nwh-ngap,3
7,15.273026,nwh-ngap,3
8,16.794876,nwh-ngap,3
9,15.810756,nwh-ngap,3
10,16.26262,nwh-ngap,3
1,16.40204,nwh-gap,3
2,17.969198,nwh-gap,3
3,16.691326,nwh-gap,3
4,16.371246,nwh-gap,3
5,17.307402,nwh-gap,3
6,16.819298,nwh-gap,3
7,16.858156,nwh-gap,3
8,18.106932,nwh-gap,3
9,16.638378,nwh-gap,3
10,17.859196,nwh-gap,3
1,14.996707,wh-ngap,4
2,16.354725,wh-ngap,4
3,15.921552,wh-ngap,4
4,14.87574,wh-ngap,4
5,15.039386,wh-ngap,4
6,15.292816,wh-ngap,4
7,14.762467,wh-ngap,4
8,15.49457,wh-ngap,4
9,15.622589,wh-ngap,4
10,15.837849,wh-ngap,4
1,14.846743,wh-gap,4
2,17.209179,wh-gap,4
3,16.058432,wh-gap,4
4,15.193983,wh-gap,4
5,16.401014,wh-gap,4
6,16.524359,wh-gap,4
7,16.184729,wh-gap,4
8,17.16852,wh-gap,4
9,16.5708,wh-gap,4
10,16.661465,wh-gap,4
1,16.177431,nwh-ngap,4
2,17.937307,nwh-ngap,4
3,17.845987,nwh-ngap,4
4,15.694067,nwh-ngap,4
5,15.536105,nwh-ngap,4
6,16.18621,nwh-ngap,4
7,15.389618,nwh-ngap,4
8,16.455496,nwh-ngap,4
9,15.72041,nwh-ngap,4
10,16.200499,nwh-ngap,4
1,15.895119,nwh-gap,4
2,18.18357,nwh-gap,4
3,16.978933,nwh-gap,4
4,16.237968,nwh-gap,4
5,17.255903,nwh-gap,4
6,17.007744,nwh-gap,4
7,16.90101,nwh-gap,4
8,17.871584,nwh-gap,4
9,16.92805,nwh-gap,4
10,17.607874,nwh-gap,4
1,17.098528,wh-ngap,1
2,16.117653,wh-ngap,1
3,15.947038,wh-ngap,1
4,17.107897,wh-ngap,1
5,16.541681,wh-ngap,1
6,15.499291,wh-ngap,1
7,17.175888,wh-ngap,1
8,17.9561,wh-ngap,1
