SentenceID, Surprisal, Condition, EmbeddingLevel
1,18.858377,wh-ngap,1
2,21.452387,wh-ngap,1
3,20.35332,wh-ngap,1
4,18.390419,wh-ngap,1
5,18.817299,wh-ngap,1
6,20.077293,wh-ngap,1
7,18.459692,wh-ngap,1
8,19.204739,wh-ngap,1
9,19.741148,wh-ngap,1
10,20.705034,wh-ngap,1
1,18.306602,wh-gap,1
2,19.355717,wh-gap,1
3,18.701225,wh-gap,1
4,18.22447,wh-gap,1
5,18.643995,wh-gap,1
6,18.899155,wh-gap,1
7,17.554235,wh-gap,1
8,19.209236,wh-gap,1
9,17.675947,wh-gap,1
10,18.866453,wh-gap,1
1,18.996294,nwh-ngap,1
2,21.098003,nwh-ngap,1
3,20.92378,nwh-ngap,1
4,18.28877,nwh-ngap,1
5,17.731384,nwh-ngap,1
6,20.073746,nwh-ngap,1
7,18.766603,nwh-ngap,1
8,20.042765,nwh-ngap,1
9,18.259775,nwh-ngap,1
10,20.95137,nwh-ngap,1
1,17.3515,nwh-gap,1
2,18.389935,nwh-gap,1
3,17.412056,nwh-gap,1
4,17.722115,nwh-gap,1
5,17.5294,nwh-gap,1
6,17.519712,nwh-gap,1
7,17.107655,nwh-gap,1
8,19.129332,nwh-gap,1
9,17.222368,nwh-gap,1
10,18.654846,nwh-gap,1
1,18.765144,wh-ngap,2
2,21.052525,wh-ngap,2
3,20.779993,wh-ngap,2
4,18.088985,wh-ngap,2
5,18.300756,wh-ngap,2
6,18.268745,wh-ngap,2
7,19.315094,wh-ngap,2
8,20.415901,wh-ngap,2
9,19.347403,wh-ngap,2
10,20.973778,wh-ngap,2
1,17.372639,wh-gap,2
2,18.829275,wh-gap,2
3,19.396246,wh-gap,2
4,17.600033,wh-gap,2
5,17.875753,wh-gap,2
6,17.42876,wh-gap,2
7,18.645378,wh-gap,2
8,18.81895,wh-gap,2
9,17.52664,wh-gap,2
10,19.024601,wh-gap,2
1,18.157513,nwh-ngap,2
2,21.160759,nwh-ngap,2
3,20.64912,nwh-ngap,2
4,17.660673,nwh-ngap,2
5,17.173988,nwh-ngap,2
6,17.510246,nwh-ngap,2
7,19.027988,nwh-ngap,2
8,20.946987,nwh-ngap,2
9,18.347765,nwh-ngap,2
10,21.421354,nwh-ngap,2
1,17.159618,nwh-gap,2
2,18.552708,nwh-gap,2
3,17.972147,nwh-gap,2
4,17.438763,nwh-gap,2
5,17.499811,nwh-gap,2
6,16.697952,nwh-gap,2
7,18.545946,nwh-gap,2
8,18.864685,nwh-gap,2
9,17.52275,nwh-gap,2
10,19.332289,nwh-gap,2
1,18.918507,wh-ngap,3
2,20.795523,wh-ngap,3
3,20.542091,wh-ngap,3
4,17.470404,wh-ngap,3
5,18.34986,wh-ngap,3
6,19.091978,wh-ngap,3
7,18.05735,wh-ngap,3
8,19.390003,wh-ngap,3
9,19.25653,wh-ngap,3
10,19.360998,wh-ngap,3
1,16.398502,wh-gap,3
2,18.879803,wh-gap,3
3,18.667143,wh-gap,3
4,16.768509,wh-gap,3
5,17.689754,wh-gap,3
6,18.23322,wh-gap,3
7,17.695179,wh-gap,3
8,18.436749,wh-gap,3
9,17.28813,wh-gap,3
10,17.793282,wh-gap,3
1,18.007095,nwh-ngap,3
2,20.9989,nwh-ngap,3
3,20.5421,nwh-ngap,3
4,17.117605,nwh-ngap,3
5,17.617235,nwh-ngap,3
6,18.138872,nwh-ngap,3
7,17.335392,nwh-ngap,3
8,19.22331,nwh-ngap,3
9,19.051954,nwh-ngap,3
10,20.30024,nwh-ngap,3
1,17.088728,nwh-gap,3
2,18.841835,nwh-gap,3
3,17.663084,nwh-gap,3
4,16.785898,nwh-gap,3
5,17.570803,nwh-gap,3
6,16.899843,nwh-gap,3
7,17.768703,nwh-gap,3
8,18.434858,nwh-gap,3
9,17.484795,nwh-gap,3
10,18.380863,nwh-gap,3
1,18.600927,wh-ngap,4
2,20.260845,wh-ngap,4
3,20.253782,wh-ngap,4
4,17.61818,wh-ngap,4
5,17.872276,wh-ngap,4
6,18.65465,wh-ngap,4
7,14.244475,wh-ngap,4
8,18.560436,wh-ngap,4
9,18.463577,wh-ngap,4
10,18.84702,wh-ngap,4
1,16.849703,wh-gap,4
2,18.741205,wh-gap,4
3,18.702091,wh-gap,4
4,16.745003,wh-gap,4
5,17.401344,wh-gap,4
6,17.815496,wh-gap,4
7,17.480871,wh-gap,4
8,18.020634,wh-gap,4
9,17.067774,wh-gap,4
10,17.559826,wh-gap,4
1,17.716627,nwh-ngap,4
2,20.316406,nwh-ngap,4
3,20.159372,nwh-ngap,4
4,17.667336,nwh-ngap,4
