Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.1033125,V-sg,N-pl,1
9.770045,V-pl,N-pl,1
10.192092,V-sg,N-pl,1
9.797192,V-pl,N-pl,1
10.206414,V-sg,N-pl,1
9.678773,V-pl,N-pl,1
10.161083,V-sg,N-pl,1
9.708708,V-pl,N-pl,1
10.138191,V-sg,N-pl,1
9.606478,V-pl,N-pl,1
10.211157,V-sg,N-pl,1
9.643498,V-pl,N-pl,1
10.15015,V-sg,N-pl,1
9.6775875,V-pl,N-pl,1
10.034958,V-sg,N-pl,1
9.733871,V-pl,N-pl,1
10.089663,V-sg,N-pl,1
9.632324,V-pl,N-pl,1
10.121628,V-sg,N-pl,1
9.85765,V-pl,N-pl,1
9.931707,V-sg,N-pl,1
9.765054,V-pl,N-pl,1
10.283573,V-sg,N-pl,1
9.740327,V-pl,N-pl,1
10.092891,V-sg,N-pl,1
9.705761,V-pl,N-pl,1
10.175744,V-sg,N-pl,1
9.636475,V-pl,N-pl,1
10.101624,V-sg,N-pl,1
9.886691,V-pl,N-pl,1
10.166593,V-sg,N-pl,1
9.861045,V-pl,N-pl,1
10.044812,V-sg,N-pl,1
9.802686,V-pl,N-pl,1
9.984224,V-sg,N-pl,1
9.716473,V-pl,N-pl,1
10.225951,V-sg,N-pl,1
9.716596,V-pl,N-pl,1
10.055286,V-sg,N-pl,1
9.763718,V-pl,N-pl,1
10.081302,V-sg,N-sg,1
9.943342,V-pl,N-sg,1
10.095418,V-sg,N-sg,1
9.851438,V-pl,N-sg,1
10.045817,V-sg,N-sg,1
9.80422,V-pl,N-sg,1
10.089515,V-sg,N-sg,1
9.844248,V-pl,N-sg,1
10.077072,V-sg,N-sg,1
9.825628,V-pl,N-sg,1
10.161369,V-sg,N-sg,1
9.740201,V-pl,N-sg,1
10.159347,V-sg,N-sg,1
9.74509,V-pl,N-sg,1
9.9454975,V-sg,N-sg,1
9.743828,V-pl,N-sg,1
10.004133,V-sg,N-sg,1
9.669369,V-pl,N-sg,1
9.973217,V-sg,N-sg,1
