Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.047782,V-sg,N-pl,1
9.841644,V-pl,N-pl,1
9.92692,V-sg,N-pl,1
9.866895,V-pl,N-pl,1
9.925908,V-sg,N-pl,1
10.062908,V-pl,N-pl,1
10.054411,V-sg,N-pl,1
10.031853,V-pl,N-pl,1
10.055366,V-sg,N-pl,1
10.065854,V-pl,N-pl,1
10.016506,V-sg,N-pl,1
9.961722,V-pl,N-pl,1
9.999759,V-sg,N-pl,1
10.082798,V-pl,N-pl,1
9.940991,V-sg,N-pl,1
10.003663,V-pl,N-pl,1
9.87102,V-sg,N-pl,1
9.999598,V-pl,N-pl,1
10.012426,V-sg,N-pl,1
9.977943,V-pl,N-pl,1
9.857887,V-sg,N-pl,1
10.096555,V-pl,N-pl,1
10.092189,V-sg,N-pl,1
10.018108,V-pl,N-pl,1
9.908501,V-sg,N-pl,1
10.012113,V-pl,N-pl,1
10.051728,V-sg,N-pl,1
9.967821,V-pl,N-pl,1
10.167893,V-sg,N-pl,1
9.9641485,V-pl,N-pl,1
10.101071,V-sg,N-pl,1
9.994132,V-pl,N-pl,1
9.798185,V-sg,N-pl,1
10.008587,V-pl,N-pl,1
9.856885,V-sg,N-pl,1
9.979533,V-pl,N-pl,1
10.034583,V-sg,N-pl,1
9.855145,V-pl,N-pl,1
10.064048,V-sg,N-pl,1
10.0876665,V-pl,N-pl,1
10.127459,V-sg,N-sg,1
10.00009,V-pl,N-sg,1
10.052002,V-sg,N-sg,1
9.894561,V-pl,N-sg,1
10.055674,V-sg,N-sg,1
10.109295,V-pl,N-sg,1
10.076712,V-sg,N-sg,1
10.133623,V-pl,N-sg,1
10.163608,V-sg,N-sg,1
10.13276,V-pl,N-sg,1
10.086425,V-sg,N-sg,1
9.990821,V-pl,N-sg,1
9.931976,V-sg,N-sg,1
10.0647545,V-pl,N-sg,1
9.900497,V-sg,N-sg,1
9.921255,V-pl,N-sg,1
9.976443,V-sg,N-sg,1
9.898682,V-pl,N-sg,1
9.981271,V-sg,N-sg,1
9.975376,V-pl,N-sg,1
9.900995,V-sg,N-sg,1
9.973872,V-pl,N-sg,1
10.097474,V-sg,N-sg,1
9.982068,V-pl,N-sg,1
9.895715,V-sg,N-sg,1
9.908256,V-pl,N-sg,1
10.104309,V-sg,N-sg,1
10.0917635,V-pl,N-sg,1
10.129951,V-sg,N-sg,1
9.870058,V-pl,N-sg,1
10.096371,V-sg,N-sg,1
9.920599,V-pl,N-sg,1
9.887186,V-sg,N-sg,1
9.916909,V-pl,N-sg,1
9.874061,V-sg,N-sg,1
10.008758,V-pl,N-sg,1
10.126018,V-sg,N-sg,1
9.984651,V-pl,N-sg,1
10.062374,V-sg,N-sg,1
10.012157,V-pl,N-sg,1
10.074816,V-sg,N-pl,2
10.18368,V-pl,N-pl,2
10.008983,V-sg,N-pl,2
10.08963,V-pl,N-pl,2
9.979882,V-sg,N-pl,2
10.097088,V-pl,N-pl,2
10.025888,V-sg,N-pl,2
10.128443,V-pl,N-pl,2
10.039177,V-sg,N-pl,2
10.140703,V-pl,N-pl,2
10.211679,V-sg,N-pl,2
10.052888,V-pl,N-pl,2
10.035814,V-sg,N-pl,2
10.218394,V-pl,N-pl,2
9.932474,V-sg,N-pl,2
10.066138,V-pl,N-pl,2
9.940069,V-sg,N-pl,2
9.965198,V-pl,N-pl,2
10.110928,V-sg,N-pl,2
10.00384,V-pl,N-pl,2
9.977089,V-sg,N-pl,2
10.207049,V-pl,N-pl,2
10.097078,V-sg,N-pl,2
10.213977,V-pl,N-pl,2
9.877195,V-sg,N-pl,2
10.091792,V-pl,N-pl,2
10.096957,V-sg,N-pl,2
10.126543,V-pl,N-pl,2
10.133277,V-sg,N-pl,2
10.02087,V-pl,N-pl,2
10.224626,V-sg,N-pl,2
10.094452,V-pl,N-pl,2
9.999405,V-sg,N-pl,2
10.084963,V-pl,N-pl,2
9.786888,V-sg,N-pl,2
10.08836,V-pl,N-pl,2
10.068602,V-sg,N-pl,2
10.12016,V-pl,N-pl,2
10.1545315,V-sg,N-pl,2
10.255912,V-pl,N-pl,2
10.189669,V-sg,N-sg,2
10.144831,V-pl,N-sg,2
10.234981,V-sg,N-sg,2
10.029267,V-pl,N-sg,2
10.075804,V-sg,N-sg,2
10.257183,V-pl,N-sg,2
10.0385275,V-sg,N-sg,2
10.225064,V-pl,N-sg,2
10.129044,V-sg,N-sg,2
10.191668,V-pl,N-sg,2
10.285896,V-sg,N-sg,2
10.040466,V-pl,N-sg,2
9.985539,V-sg,N-sg,2
10.217752,V-pl,N-sg,2
9.943661,V-sg,N-sg,2
10.0311165,V-pl,N-sg,2
9.983678,V-sg,N-sg,2
9.938195,V-pl,N-sg,2
10.155016,V-sg,N-sg,2
10.072922,V-pl,N-sg,2
9.982459,V-sg,N-sg,2
10.137541,V-pl,N-sg,2
10.129097,V-sg,N-sg,2
10.135056,V-pl,N-sg,2
9.930687,V-sg,N-sg,2
10.014197,V-pl,N-sg,2
10.110027,V-sg,N-sg,2
10.195065,V-pl,N-sg,2
10.187277,V-sg,N-sg,2
10.001876,V-pl,N-sg,2
10.119956,V-sg,N-sg,2
10.004903,V-pl,N-sg,2
10.051589,V-sg,N-sg,2
10.036036,V-pl,N-sg,2
9.9143,V-sg,N-sg,2
10.111465,V-pl,N-sg,2
10.18512,V-sg,N-sg,2
10.056899,V-pl,N-sg,2
10.0835,V-sg,N-sg,2
10.1740465,V-pl,N-sg,2
10.135708,V-sg,N-pl,3
10.172163,V-pl,N-pl,3
10.05422,V-sg,N-pl,3
10.105764,V-pl,N-pl,3
10.000124,V-sg,N-pl,3
10.139104,V-pl,N-pl,3
10.036257,V-sg,N-pl,3
10.118962,V-pl,N-pl,3
10.112788,V-sg,N-pl,3
10.159082,V-pl,N-pl,3
10.186933,V-sg,N-pl,3
10.041057,V-pl,N-pl,3
10.07529,V-sg,N-pl,3
10.231767,V-pl,N-pl,3
9.939999,V-sg,N-pl,3
10.139458,V-pl,N-pl,3
10.0411005,V-sg,N-pl,3
9.991478,V-pl,N-pl,3
10.182372,V-sg,N-pl,3
10.0588875,V-pl,N-pl,3
10.000773,V-sg,N-pl,3
10.165108,V-pl,N-pl,3
10.061746,V-sg,N-pl,3
10.167393,V-pl,N-pl,3
9.908347,V-sg,N-pl,3
10.132227,V-pl,N-pl,3
10.009447,V-sg,N-pl,3
10.1197,V-pl,N-pl,3
10.04533,V-sg,N-pl,3
10.051632,V-pl,N-pl,3
10.116142,V-sg,N-pl,3
10.044885,V-pl,N-pl,3
9.975754,V-sg,N-pl,3
10.272894,V-pl,N-pl,3
9.84469,V-sg,N-pl,3
10.15358,V-pl,N-pl,3
10.094508,V-sg,N-pl,3
10.159249,V-pl,N-pl,3
10.105347,V-sg,N-pl,3
10.19722,V-pl,N-pl,3
10.10359,V-sg,N-sg,3
10.088852,V-pl,N-sg,3
10.184531,V-sg,N-sg,3
10.054056,V-pl,N-sg,3
9.992684,V-sg,N-sg,3
10.241222,V-pl,N-sg,3
10.024888,V-sg,N-sg,3
10.133561,V-pl,N-sg,3
10.132762,V-sg,N-sg,3
10.140457,V-pl,N-sg,3
10.199114,V-sg,N-sg,3
10.000746,V-pl,N-sg,3
10.041635,V-sg,N-sg,3
10.221432,V-pl,N-sg,3
9.910919,V-sg,N-sg,3
10.045684,V-pl,N-sg,3
10.018629,V-sg,N-sg,3
9.93889,V-pl,N-sg,3
10.095676,V-sg,N-sg,3
10.086707,V-pl,N-sg,3
9.977668,V-sg,N-sg,3
10.107379,V-pl,N-sg,3
10.106372,V-sg,N-sg,3
10.129719,V-pl,N-sg,3
10.012938,V-sg,N-sg,3
10.019891,V-pl,N-sg,3
10.093749,V-sg,N-sg,3
10.117362,V-pl,N-sg,3
10.137196,V-sg,N-sg,3
9.998722,V-pl,N-sg,3
10.113012,V-sg,N-sg,3
9.9670105,V-pl,N-sg,3
10.06253,V-sg,N-sg,3
10.175779,V-pl,N-sg,3
9.884095,V-sg,N-sg,3
10.069303,V-pl,N-sg,3
10.12326,V-sg,N-sg,3
10.003432,V-pl,N-sg,3
10.055707,V-sg,N-sg,3
10.105037,V-pl,N-sg,3
10.126119,V-sg,N-pl,4
10.236186,V-pl,N-pl,4
10.157367,V-sg,N-pl,4
10.321417,V-pl,N-pl,4
10.12523,V-sg,N-pl,4
10.243649,V-pl,N-pl,4
10.097033,V-sg,N-pl,4
10.159376,V-pl,N-pl,4
10.192355,V-sg,N-pl,4
10.205692,V-pl,N-pl,4
10.180331,V-sg,N-pl,4
10.074293,V-pl,N-pl,4
10.179792,V-sg,N-pl,4
10.191211,V-pl,N-pl,4
9.993495,V-sg,N-pl,4
10.135143,V-pl,N-pl,4
10.165946,V-sg,N-pl,4
10.055349,V-pl,N-pl,4
10.228923,V-sg,N-pl,4
10.1684,V-pl,N-pl,4
10.042717,V-sg,N-pl,4
10.191196,V-pl,N-pl,4
10.173464,V-sg,N-pl,4
10.148749,V-pl,N-pl,4
10.065665,V-sg,N-pl,4
10.173485,V-pl,N-pl,4
10.103855,V-sg,N-pl,4
10.153494,V-pl,N-pl,4
10.05157,V-sg,N-pl,4
10.206939,V-pl,N-pl,4
10.18182,V-sg,N-pl,4
10.10288,V-pl,N-pl,4
10.090762,V-sg,N-pl,4
10.343731,V-pl,N-pl,4
9.971427,V-sg,N-pl,4
10.132334,V-pl,N-pl,4
10.140363,V-sg,N-pl,4
10.272094,V-pl,N-pl,4
10.1358795,V-sg,N-pl,4
10.171561,V-pl,N-pl,4
10.130762,V-sg,N-sg,4
10.142695,V-pl,N-sg,4
10.175848,V-sg,N-sg,4
10.169339,V-pl,N-sg,4
10.095393,V-sg,N-sg,4
10.219545,V-pl,N-sg,4
10.134248,V-sg,N-sg,4
10.112738,V-pl,N-sg,4
10.2059355,V-sg,N-sg,4
10.204136,V-pl,N-sg,4
10.224434,V-sg,N-sg,4
10.064779,V-pl,N-sg,4
10.148965,V-sg,N-sg,4
10.17959,V-pl,N-sg,4
9.989628,V-sg,N-sg,4
10.090513,V-pl,N-sg,4
10.114667,V-sg,N-sg,4
10.010944,V-pl,N-sg,4
10.179828,V-sg,N-sg,4
10.145491,V-pl,N-sg,4
10.043965,V-sg,N-sg,4
10.176936,V-pl,N-sg,4
10.184631,V-sg,N-sg,4
10.042698,V-pl,N-sg,4
10.086703,V-sg,N-sg,4
10.110686,V-pl,N-sg,4
10.159948,V-sg,N-sg,4
10.053837,V-pl,N-sg,4
10.156357,V-sg,N-sg,4
10.172469,V-pl,N-sg,4
10.198346,V-sg,N-sg,4
10.039079,V-pl,N-sg,4
10.122459,V-sg,N-sg,4
10.251499,V-pl,N-sg,4
10.02624,V-sg,N-sg,4
10.082704,V-pl,N-sg,4
10.1596985,V-sg,N-sg,4
10.10999,V-pl,N-sg,4
10.133529,V-sg,N-sg,4
10.102144,V-pl,N-sg,4
