SentenceID, Surprisal, Condition, EmbeddingLevel
1,9.960842,wh-ngap,1
2,9.750889,wh-ngap,1
3,9.818914,wh-ngap,1
4,9.695821,wh-ngap,1
5,9.807498,wh-ngap,1
6,9.907955,wh-ngap,1
7,10.015984,wh-ngap,1
8,9.80617,wh-ngap,1
9,9.763417,wh-ngap,1
10,9.620339,wh-ngap,1
1,10.0630045,wh-gap,1
2,9.63341,wh-gap,1
3,9.794647,wh-gap,1
4,9.539193,wh-gap,1
5,10.021102,wh-gap,1
6,9.913532,wh-gap,1
7,10.106937,wh-gap,1
8,9.608912,wh-gap,1
9,9.643259,wh-gap,1
10,9.386034,wh-gap,1
1,9.821689,nwh-ngap,1
2,9.755254,nwh-ngap,1
3,9.825588,nwh-ngap,1
4,9.695994,nwh-ngap,1
5,9.84702,nwh-ngap,1
6,9.83543,nwh-ngap,1
7,9.834989,nwh-ngap,1
8,9.7624035,nwh-ngap,1
9,9.719536,nwh-ngap,1
10,9.667412,nwh-ngap,1
1,9.75521,nwh-gap,1
2,9.886929,nwh-gap,1
3,9.672546,nwh-gap,1
4,9.64438,nwh-gap,1
5,9.940085,nwh-gap,1
6,9.870016,nwh-gap,1
7,9.762299,nwh-gap,1
8,9.908151,nwh-gap,1
9,9.946095,nwh-gap,1
10,9.673698,nwh-gap,1
1,9.955924,wh-ngap,2
2,9.716685,wh-ngap,2
3,9.927835,wh-ngap,2
4,9.82473,wh-ngap,2
5,9.906896,wh-ngap,2
6,9.797737,wh-ngap,2
7,10.03449,wh-ngap,2
8,9.781986,wh-ngap,2
9,9.812231,wh-ngap,2
10,9.632932,wh-ngap,2
1,9.938924,wh-gap,2
2,9.722666,wh-gap,2
3,9.892593,wh-gap,2
4,9.794837,wh-gap,2
5,10.020714,wh-gap,2
6,9.827623,wh-gap,2
7,10.054811,wh-gap,2
8,9.800406,wh-gap,2
9,9.795055,wh-gap,2
10,9.559685,wh-gap,2
1,9.949892,nwh-ngap,2
2,9.865377,nwh-ngap,2
3,9.922614,nwh-ngap,2
4,9.926511,nwh-ngap,2
