SentenceID, Surprisal, Condition, EmbeddingLevel
1,9.688013,wh-ngap,1
2,9.977133,wh-ngap,1
3,9.737965,wh-ngap,1
4,9.611639,wh-ngap,1
5,9.663393,wh-ngap,1
6,9.704079,wh-ngap,1
7,9.787072,wh-ngap,1
8,9.832215,wh-ngap,1
9,9.938884,wh-ngap,1
10,9.746741,wh-ngap,1
1,9.684654,wh-gap,1
2,9.912221,wh-gap,1
3,9.654821,wh-gap,1
4,9.633065,wh-gap,1
5,9.780797,wh-gap,1
6,9.63352,wh-gap,1
7,9.689426,wh-gap,1
8,9.84215,wh-gap,1
9,9.835587,wh-gap,1
10,9.8041525,wh-gap,1
1,9.853966,nwh-ngap,1
2,9.926537,nwh-ngap,1
3,9.885627,nwh-ngap,1
4,9.601892,nwh-ngap,1
5,9.893542,nwh-ngap,1
6,9.769478,nwh-ngap,1
7,9.968565,nwh-ngap,1
8,9.807723,nwh-ngap,1
9,9.701949,nwh-ngap,1
10,9.765001,nwh-ngap,1
1,9.674896,nwh-gap,1
2,9.97426,nwh-gap,1
3,9.704523,nwh-gap,1
4,9.526923,nwh-gap,1
5,9.863844,nwh-gap,1
6,9.628916,nwh-gap,1
7,9.632628,nwh-gap,1
8,9.847832,nwh-gap,1
9,9.8297,nwh-gap,1
10,9.660743,nwh-gap,1
1,9.853095,wh-ngap,2
2,10.04674,wh-ngap,2
3,9.932989,wh-ngap,2
4,9.850428,wh-ngap,2
5,9.813882,wh-ngap,2
6,9.71382,wh-ngap,2
7,9.959829,wh-ngap,2
8,9.889544,wh-ngap,2
9,9.954673,wh-ngap,2
10,9.846231,wh-ngap,2
1,9.855554,wh-gap,2
2,10.137129,wh-gap,2
3,9.707233,wh-gap,2
4,9.903765,wh-gap,2
5,9.7798605,wh-gap,2
6,9.660844,wh-gap,2
7,9.875532,wh-gap,2
8,9.929729,wh-gap,2
9,9.957903,wh-gap,2
10,9.864194,wh-gap,2
1,10.025311,nwh-ngap,2
2,9.9691725,nwh-ngap,2
3,10.112318,nwh-ngap,2
4,9.849723,nwh-ngap,2
5,9.902453,nwh-ngap,2
6,9.843093,nwh-ngap,2
7,10.086966,nwh-ngap,2
8,9.944009,nwh-ngap,2
9,9.824524,nwh-ngap,2
10,9.926133,nwh-ngap,2
1,9.960669,nwh-gap,2
2,10.087792,nwh-gap,2
3,9.909101,nwh-gap,2
4,9.797979,nwh-gap,2
5,9.916359,nwh-gap,2
6,9.89914,nwh-gap,2
7,9.821619,nwh-gap,2
8,10.014202,nwh-gap,2
9,10.08812,nwh-gap,2
10,9.8537855,nwh-gap,2
1,9.977947,wh-ngap,3
2,10.042012,wh-ngap,3
3,9.970196,wh-ngap,3
4,9.869719,wh-ngap,3
5,10.000029,wh-ngap,3
6,9.800444,wh-ngap,3
7,10.055958,wh-ngap,3
