SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,8.462743e-05,13.528515,wh-ngap,1
2,at,9.9922276e-05,13.288835,wh-ngap,1
3,at,4.997507e-05,14.288432,wh-ngap,1
4,at,7.634901e-05,13.677031,wh-ngap,1
5,at,7.43219e-05,13.715853,wh-ngap,1
6,at,6.848998e-05,13.833748,wh-ngap,1
7,at,5.462812e-05,14.159997,wh-ngap,1
8,at,0.00012584643,12.956048,wh-ngap,1
9,at,9.6832926e-05,13.334143,wh-ngap,1
10,at,0.00011776221,13.051836,wh-ngap,1
1,at,8.3604886e-05,13.546053,wh-gap,1
2,at,9.360522e-05,13.383052,wh-gap,1
3,at,4.869851e-05,14.325763,wh-gap,1
4,at,6.1798804e-05,13.982061,wh-gap,1
5,at,8.369114e-05,13.544565,wh-gap,1
6,at,7.4146206e-05,13.719268,wh-gap,1
7,at,4.884711e-05,14.321367,wh-gap,1
8,at,0.00013280705,12.878381,wh-gap,1
9,at,8.748444e-05,13.480614,wh-gap,1
10,at,0.0001139428,13.099402,wh-gap,1
1,at,6.790952e-05,13.846026,nwh-ngap,1
2,at,9.0322246e-05,13.434559,nwh-ngap,1
3,at,4.1361956e-05,14.5613365,nwh-ngap,1
4,at,6.520269e-05,13.904709,nwh-ngap,1
5,at,6.324384e-05,13.948715,nwh-ngap,1
6,at,5.90767e-05,14.047051,nwh-ngap,1
7,at,4.6256682e-05,14.399979,nwh-ngap,1
8,at,9.9023775e-05,13.301866,nwh-ngap,1
9,at,8.7082895e-05,13.487251,nwh-ngap,1
10,at,8.666339e-05,13.494218,nwh-ngap,1
1,at,6.6072455e-05,13.8855915,nwh-gap,1
2,at,8.015226e-05,13.606897,nwh-gap,1
3,at,3.817484e-05,14.677018,nwh-gap,1
4,at,4.9438022e-05,14.30402,nwh-gap,1
5,at,7.206173e-05,13.760407,nwh-gap,1
6,at,6.205262e-05,13.976149,nwh-gap,1
7,at,3.948585e-05,14.6283045,nwh-gap,1
8,at,8.95631e-05,13.446736,nwh-gap,1
9,at,6.8878864e-05,13.825579,nwh-gap,1
10,at,7.294658e-05,13.7428,nwh-gap,1
1,at,8.80942e-05,13.470593,wh-ngap,2
2,at,0.00016050201,12.605121,wh-ngap,2
3,at,7.1031856e-05,13.781175,wh-ngap,2
4,at,8.771091e-05,13.476884,wh-ngap,2
5,at,9.3823226e-05,13.379695,wh-ngap,2
6,at,8.8033834e-05,13.471582,wh-ngap,2
7,at,5.177889e-05,14.237276,wh-ngap,2
8,at,9.6293974e-05,13.342195,wh-ngap,2
9,at,0.00010374752,13.234635,wh-ngap,2
10,at,0.00011258856,13.1166525,wh-ngap,2
1,at,8.626355e-05,13.50089,wh-gap,2
2,at,0.00015218154,12.681919,wh-gap,2
3,at,7.2484545e-05,13.751967,wh-gap,2
4,at,7.132936e-05,13.775145,wh-gap,2
5,at,9.883157e-05,13.304668,wh-gap,2
6,at,9.2200156e-05,13.404871,wh-gap,2
7,at,4.444385e-05,14.457657,wh-gap,2
8,at,0.00010051256,13.280336,wh-gap,2
9,at,9.659144e-05,13.337745,wh-gap,2
10,at,0.000104911116,13.218545,wh-gap,2
1,at,6.384072e-05,13.9351635,nwh-ngap,2
2,at,0.0001031945,13.242347,nwh-ngap,2
3,at,4.196674e-05,14.540394,nwh-ngap,2
4,at,6.252094e-05,13.965301,nwh-ngap,2
5,at,6.360821e-05,13.940428,nwh-ngap,2
6,at,6.695803e-05,13.866384,nwh-ngap,2
7,at,5.326367e-05,14.196488,nwh-ngap,2
8,at,6.894105e-05,13.824277,nwh-ngap,2
9,at,7.012887e-05,13.799632,nwh-ngap,2
10,at,7.924418e-05,13.623336,nwh-ngap,2
1,at,6.593749e-05,13.888541,nwh-gap,2
2,at,8.496672e-05,13.522742,nwh-gap,2
3,at,4.3280834e-05,14.495913,nwh-gap,2
4,at,5.2355732e-05,14.221293,nwh-gap,2
5,at,6.2663516e-05,13.962015,nwh-gap,2
6,at,7.5940545e-05,13.684771,nwh-gap,2
7,at,5.244537e-05,14.218825,nwh-gap,2
8,at,6.25555e-05,13.964504,nwh-gap,2
9,at,6.6697765e-05,13.872002,nwh-gap,2
10,at,6.473546e-05,13.915084,nwh-gap,2
1,at,9.845719e-05,13.310143,wh-ngap,3
2,at,0.00015816007,12.626327,wh-ngap,3
3,at,8.577445e-05,13.509092,wh-ngap,3
4,at,0.00010672196,13.193855,wh-ngap,3
5,at,0.00012222439,12.99818,wh-ngap,3
