Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
13.987823,V-sg,N-pl,1
15.312935,V-pl,N-pl,1
14.01213,V-sg,N-pl,1
15.00777,V-pl,N-pl,1
14.443159,V-sg,N-pl,1
14.879823,V-pl,N-pl,1
13.606738,V-sg,N-pl,1
14.899393,V-pl,N-pl,1
13.941698,V-sg,N-pl,1
15.23277,V-pl,N-pl,1
13.720496,V-sg,N-pl,1
14.983388,V-pl,N-pl,1
14.259347,V-sg,N-pl,1
15.055708,V-pl,N-pl,1
14.557371,V-sg,N-pl,1
15.208159,V-pl,N-pl,1
14.55146,V-sg,N-pl,1
15.431552,V-pl,N-pl,1
14.856706,V-sg,N-pl,1
15.031217,V-pl,N-pl,1
14.648384,V-sg,N-pl,1
15.220888,V-pl,N-pl,1
14.877304,V-sg,N-pl,1
15.574774,V-pl,N-pl,1
14.150905,V-sg,N-pl,1
15.136032,V-pl,N-pl,1
14.473917,V-sg,N-pl,1
14.825518,V-pl,N-pl,1
14.469257,V-sg,N-pl,1
15.533376,V-pl,N-pl,1
14.64152,V-sg,N-pl,1
15.256081,V-pl,N-pl,1
14.838187,V-sg,N-pl,1
15.174856,V-pl,N-pl,1
14.408464,V-sg,N-pl,1
15.054166,V-pl,N-pl,1
14.714546,V-sg,N-pl,1
15.304615,V-pl,N-pl,1
14.642555,V-sg,N-pl,1
15.329197,V-pl,N-pl,1
13.987034,V-sg,N-sg,1
15.108927,V-pl,N-sg,1
14.144858,V-sg,N-sg,1
15.168328,V-pl,N-sg,1
14.380655,V-sg,N-sg,1
14.858753,V-pl,N-sg,1
13.772829,V-sg,N-sg,1
15.147155,V-pl,N-sg,1
13.617134,V-sg,N-sg,1
14.915478,V-pl,N-sg,1
13.9560585,V-sg,N-sg,1
15.014469,V-pl,N-sg,1
14.334251,V-sg,N-sg,1
14.881965,V-pl,N-sg,1
14.73258,V-sg,N-sg,1
15.537511,V-pl,N-sg,1
14.530827,V-sg,N-sg,1
15.317294,V-pl,N-sg,1
14.923558,V-sg,N-sg,1
15.348925,V-pl,N-sg,1
14.328334,V-sg,N-sg,1
15.126365,V-pl,N-sg,1
14.802729,V-sg,N-sg,1
15.394847,V-pl,N-sg,1
13.84765,V-sg,N-sg,1
15.182423,V-pl,N-sg,1
13.933489,V-sg,N-sg,1
15.145106,V-pl,N-sg,1
14.600224,V-sg,N-sg,1
15.631012,V-pl,N-sg,1
14.257501,V-sg,N-sg,1
15.149598,V-pl,N-sg,1
14.496231,V-sg,N-sg,1
15.447129,V-pl,N-sg,1
14.409374,V-sg,N-sg,1
15.637059,V-pl,N-sg,1
14.851133,V-sg,N-sg,1
15.49325,V-pl,N-sg,1
14.657359,V-sg,N-sg,1
15.153097,V-pl,N-sg,1
14.323022,V-sg,N-pl,2
15.08763,V-pl,N-pl,2
